CaterogyID,ASIN,MainCategory,SubCategory
1,B079KL4C91,Arts & Crafts,Crafting
2,B073XR4X72,Arts & Crafts,Crafting
3,B089T7PX27,Arts & Crafts,Crafting
4,B007VBXB48,Arts & Crafts,Crafting
5,B07D4YF3K4,Arts & Crafts,Crafting
6,B003A2I5T8,Arts & Crafts,Crafting
7,B002YIP97K,Arts & Crafts,Crafting
8,B00CBAWIIY,Arts & Crafts,Crafting
9,B00006IDRW,Arts & Crafts,Crafting
10,B003W0XR8M,Arts & Crafts,Crafting
11,B002TOL3ZG,Arts & Crafts,Crafting
12,B000PCY91O,Arts & Crafts,Crafting
13,B00178QSE6,Arts & Crafts,Crafting
14,B00MJ8JSFE,Arts & Crafts,Crafting
15,B00DOAVCN2,Arts & Crafts,Crafting
16,B07QQ3L753,Arts & Crafts,Crafting
17,B0751VFF2X,Arts & Crafts,Crafting
18,B001A42CTW,Arts & Crafts,Crafting
19,B00178KLEY,Arts & Crafts,Crafting
20,B000P0LNRE,Arts & Crafts,Crafting
21,B00BSK750Y,Arts & Crafts,Crafting
22,B0013CDGT6,Arts & Crafts,Crafting
23,B000FJU29U,Arts & Crafts,Crafting
24,B00JX1OFDU,Arts & Crafts,Crafting
25,B003A2I4V2,Arts & Crafts,Crafting
26,B00006IA9F,Arts & Crafts,Crafting
27,B000YZ8RGA,Arts & Crafts,Crafting
28,B016LDV41S,Arts & Crafts,Crafting
29,B00MFTLNU0,Arts & Crafts,Crafting
30,B001IKES5O,Arts & Crafts,Crafting
31,B001680QSG,Arts & Crafts,Crafting
32,B01BRGUAT6,Arts & Crafts,Crafting
33,B00006IFN9,Arts & Crafts,Crafting
34,B001AH5EXK,Arts & Crafts,Crafting
35,B00KD6YW2I,Arts & Crafts,Crafting
36,B07H46MZWC,Arts & Crafts,Crafting
37,B015W8DWUO,Arts & Crafts,Crafting
38,B003JZII34,Arts & Crafts,Crafting
39,B001CB01MS,Arts & Crafts,Crafting
40,B004M59O4C,Arts & Crafts,Crafting
41,B01GIJLSGG,Arts & Crafts,Crafting
42,B005IZLXPI,Arts & Crafts,Crafting
43,B00007E7D2,Arts & Crafts,Crafting
44,B0C8BRB3RH,Arts & Crafts,Crafting
45,B0038F1A0S,Arts & Crafts,Crafting
46,B00161S2RK,Arts & Crafts,Crafting
47,B00OBC4CWK,Arts & Crafts,Crafting
48,B019CSHSW8,Arts & Crafts,Crafting
49,B002TOL3ZQ,Arts & Crafts,Crafting
50,B00004TS5V,Arts & Crafts,Crafting
51,B0751VR8KZ,Arts & Crafts,Crafting
52,B006P1EQXA,Arts & Crafts,Crafting
53,B001CN6X6O,Arts & Crafts,Crafting
54,B002TOL44Q,Arts & Crafts,Crafting
55,B00DC4RXF6,Arts & Crafts,Crafting
56,B01ETS3HGC,Arts & Crafts,Crafting
57,B07FX5LCXK,Arts & Crafts,Crafting
