ASIN,CustomerRating,CustomerReview
B079KL4C91,4.8,81821
B073XR4X72,4.6,126102
B089T7PX27,4.6,12865
B007VBXB48,4.9,72876
B07D4YF3K4,4.7,13108
B003A2I5T8,4.8,21906
B002YIP97K,4.8,18629
B00CBAWIIY,4.8,36796
B00006IDRW,4.7,5633
B003W0XR8M,4.7,27825
B002TOL3ZG,4.7,37912
B000PCY91O,4.7,19370
B00178QSE6,4.1,19823
B00MJ8JSFE,4.8,7166
B00DOAVCN2,4.8,12391
B07QQ3L753,4.7,13716
B0751VFF2X,4.6,21635
B001A42CTW,4.6,11102
B00178KLEY,4.7,3447
B000P0LNRE,4.7,31899
B00BSK750Y,4.9,38132
B0013CDGT6,4.8,36003
B000FJU29U,4.3,4010
B00JX1OFDU,4.7,23821
B003A2I4V2,4.8,12157
B00006IA9F,4.8,6372
B000YZ8RGA,4.6,5728
B016LDV41S,4.6,17986
B00MFTLNU0,4.9,12698
B001IKES5O,4.8,30174
B001680QSG,4.4,9456
B01BRGUAT6,4.8,54354
B00006IFN9,4.8,17139
B001AH5EXK,4.5,11761
B00KD6YW2I,4.0,2299
B07H46MZWC,4.7,7825
B015W8DWUO,4.5,23051
B003JZII34,4.7,5151
B001CB01MS,4.5,3777
B004M59O4C,4.7,30158
B01GIJLSGG,4.7,51107
B005IZLXPI,4.7,4926
B00007E7D2,4.6,18747
B0C8BRB3RH,4.6,19154
B0038F1A0S,4.6,14378
B00161S2RK,4.8,12258
B00OBC4CWK,4.8,14650
B019CSHSW8,4.4,14233
B002TOL3ZQ,4.7,1553
B00004TS5V,4.7,5333
B0751VR8KZ,4.6,12825
B006P1EQXA,4.7,11100
B001CN6X6O,4.6,2715
B002TOL44Q,4.6,761
B00DC4RXF6,4.7,11600
B01ETS3HGC,4.8,14439
B07FX5LCXK,4.8,3444
B01NCP64T0,4.7,5690
B001GAP4YA,4.6,53515
B0013JR8QQ,4.7,9305
B00KD6ZHA4,4.5,3533
B0011N832C,4.5,8005
B008REERTG,4.7,2685
B00OBC4CU2,4.8,3462
B07K791YRP,4.7,37807
B00UW3G2XE,4.8,4853
B000UU6SR4,4.9,11483
B083TT4XVN,4.6,1054
B0B5G72HM2,4.7,554
B00006IFNA,4.8,8520
B000VRTG8Y,4.5,9089
B003ULBP9Q,4.7,6247
B0BLNGNM73,4.6,11511
B08XKLQBBW,4.7,2921
B000WWGANC,4.1,6084
B0018NA0F8,4.4,5901
B007OCF0C0,4.8,2057
B0BVWNYFZ6,4.7,191
B00004Z2U0,4.8,5624
B081R25K4S,4.6,7839
B00178RING,4.3,9424
B01HZMNDFO,4.6,1460
B001145342,4.4,7366
B00I00RASM,4.8,10594
B00JKHFR2K,4.7,1252
B000N4AI8M,4.8,2201
B077762QK5,4.7,3555
B00009RUCS,4.7,5321
B0C8BSNJPL,4.4,2799
B09ZG8P7ZB,4.6,4569
B09BW3G5FY,4.7,1529
B001QFZDW8,4.5,2279
B002OOVC84,4.5,14125
B0C6RBSN2V,4.5,426
B001B0EXNI,4.7,2946
B07J6R3GK7,4.7,6844
B09J9ZGX8S,4.5,1058
B00LJV1KYO,4.7,33124
B0018N7J8E,4.8,11646
B001B1YTWW,4.4,3861
B00GYDTV5M,4.8,3197
B07QNMF4ZP,4.8,1884
B002NQ2K16,4.8,47874
B001KYQP22,4.8,20662
B0076FJ7SS,4.7,19995
B0058TW286,4.5,2689
B00178QQ84,4.6,12989
B000FCEPY0,4.2,2171
B07YT3NV7D,4.7,10016
B07PPD8Q8V,4.6,8076
B00826ENU2,4.8,1299
B06XPQQP5K,4.4,658
B09841P435,4.5,1666
B07FZPJ18V,4.6,2379
B0006HUPHU,4.8,16062
B000GP0RHK,4.7,3879
B06XRLTJWM,4.7,13442
B005P1TRAS,4.4,8562
B09Q612DBG,4.5,668
B000UVMNF4,4.7,11499
B077PBFKBW,4.7,18650
B001KZC7K0,4.6,3822
B005P58CYG,4.8,5105
B000XAQN5S,4.4,3638
B07SQBJ896,4.9,8116
B0B79JKMTN,4.4,1273
B000PCY94Q,4.6,4841
B003A2I4TO,4.8,8651
B08DCF5B4P,4.7,4342
B00161UBTW,4.1,1706
B00OLOXX9G,4.5,468
B00M1XZXGU,4.4,10991
B00004T7VN,4.1,1559
B07H28SCC9,4.1,4475
B002LARR6M,4.6,11786
B00HC18CI2,4.7,696
B001144X3E,4.4,4896
B09XWDYRN1,4.4,488
B019SC4JV6,4.7,5227
B0006BAWUQ,4.8,1983
B00JWFIKOC,4.7,4791
B07DPJB4VR,4.7,4437
B07LFH2MGH,4.5,8938
B07XN92XC9,4.1,24
B0024KMQ6K,4.7,7823
B00GSML0HG,4.7,3997
B00GYDTTK4,4.7,2282
B00IR153UG,4.5,2225
B00178RIJU,4.5,6479
B00178KMIE,4.4,1613
B001681Z8Q,4.7,3425
B09Y681BML,4.8,359
B000XAOSHS,4.7,5819
B07QGH4DVH,4.3,237
B0000C0CIR,4.6,13992
B000TK4HNC,4.3,331
B00CHQ7IBO,4.6,8456
B005PUC4KE,4.7,2632
B07M627HZ2,4.6,5870
B08839LPH5,4.7,758
B000F7ASAU,4.6,908
B09X2CD7LW,4.7,533
B0008GQ0GY,4.7,1820
B004BSDLS0,4.7,5159
B000BNLLHW,4.8,8535
B000J0C47S,4.6,1923
B0C8BRVRDD,4.6,6966
B00VU4S8GS,4.5,6752
B001RQCTUU,3.9,7892
B094YW6LB7,4.9,534
B073XV1P16,4.6,13525
B016IAO14G,4.6,5423
B00CPD0O1U,4.8,4432
B00006IBK9,4.5,13498
B001687ZDA,4.8,6350
B01ELJHFE4,4.7,1620
B085G4WXP1,4.8,421
B074HKPG2K,4.8,3412
B093CJY92Y,4.0,2794
B08C6KC2Y9,4.4,12725
B09HYXVY4F,4.8,240
B01MRF0AX4,4.8,1536
B00004Z2UB,4.7,2777
B00008XPBI,4.8,1879
B0006HUJ0S,4.0,1801
B01B8CKZEY,4.5,4332
B01N7U996L,4.6,1720
B0BZBG7XX6,4.8,153
B009WWFW82,4.6,4752
B00161UNSG,4.7,3863
B001705RTQ,4.7,2780
B004ZDL0M0,4.8,2242
B00NHVDIC6,4.7,1704
B08PXVPKD4,4.7,415
B0CNXY3X25,4.5,34
B00C0YOGEU,4.3,866
B07PGKTJBT,4.7,3355
B00UY0W4XM,4.6,1520
B0CF6PKL8L,4.6,188
B0018BVNIS,4.5,7556
B078KWR3HD,4.7,676
B079W5KWQ8,4.8,51431
B082P8T7V9,4.6,838
B000WWK5L0,4.6,2150
B0B9RRJ2BG,4.7,112
B00BPZDE5M,4.3,2723
B006P1Z4X6,4.4,325
B0013J0HI2,4.7,2615
B08HVVHGTY,4.6,241
B003WE9XOA,4.7,2027
B006ODUQIS,4.8,3826
B00114TK46,4.7,18807
B00MFU8A0A,4.7,14684
B002NQZYAU,4.4,1447
B000WG20SC,4.7,3187
B0000DZV3K,4.5,620
B00J2TJF6A,4.7,9765
B00JKHG09E,4.5,567
B0BXBMKNLD,4.5,70
B001681L5I,4.8,1833
B0714G7Q42,4.5,1766
B00NL5LTO2,4.4,3433
B002TOL42I,4.8,1257
B006P1Z454,4.4,177
B01B8K8A34,4.3,1531
B07QTF4CMV,4.6,575
B007QNI16E,4.7,7861
B077K74ZYD,4.2,1073
B0C7LVMKJV,4.6,99
B0088RL2QI,4.6,755
B09YLGJ63M,4.8,8122
B000095S4Q,4.8,1077
B000FJQQHC,4.3,5269
B0018N96CG,4.8,2357
B00SN0PI88,4.7,1387
B0C7HDTQKN,4.7,1352
B0BLV5S1HV,4.4,532
B00405525E,4.6,3183
B002CSRZKQ,4.7,14418
B01AKRO0DK,3.9,1215
B002LARR8A,4.7,3457
B000083CZE,4.7,127
B0C7LSY3C8,4.6,59
B0000CGB68,4.7,2261
B00UV3ZL9G,4.5,1325
B00006HZ5F,4.8,2041
B00BMQGI52,4.4,604
B01JGGQHPU,4.7,3759
B0774YNBDJ,4.5,363
B07NDJ64MG,4.3,5138
B00IA8WLQA,4.6,3936
B00006IF5Q,4.7,910
B01ELJIUQ6,4.7,474
B00008XPFZ,4.7,1274
B07SXBSHCY,4.6,339
B074P761VW,4.5,1006
B0CMMT5X3K,4.6,274
B00006JNWX,4.5,3943
B00JKHFRCU,4.6,686
B01M0JV0Y5,4.0,459
B005HY9KDM,4.2,2976
B002PNRYL8,4.5,946
B005VPVW3I,4.8,7048
B012IBNZBO,4.8,2293
B00GYDSY7I,4.8,1347
B07J4Z5H15,4.6,2798
B0033F1ZMQ,4.6,2701
B001AZ646I,4.7,510
B000MARL8M,4.8,1488
B074XNCHTX,4.7,339
B001681RS4,4.6,543
B00008XPFR,4.7,201
B07P91PMYV,4.8,9280
B001480O26,4.7,3997
B00LXBNDDG,4.7,2842
B096T98189,4.7,657
B07RKFXCB6,4.5,651
B07NLQQBCP,4.7,3117
B01L32IXYS,4.8,1004
B01HZMP7H6,4.6,568
1581807899,4.5,2509
B00745VXN2,4.6,1982
B08RY8M3K5,4.7,218
B00D05BJKC,4.6,6830
B09H99YJVT,4.7,703
B00008XPD2,4.7,542
B0C1CWJG1R,4.9,144
B0BSMQQ4CJ,4.4,3111
B002LARR8K,4.6,398
B00114RDVI,4.5,1495
B009ZMIP8I,4.7,3855
B07XRZ7HP6,4.7,961
B0BC9XLTGW,4.8,227
B0013JTJK4,4.8,1620
B000YQKLJ0,4.8,2180
B0063K6GTA,4.5,744
B01GMSE2SO,4.6,3856
B07DPJH1LR,4.7,4184
B00U82D03O,4.7,1790
B003GXF4EK,4.3,2361
B0044SCR6O,4.3,735
B009ZMMH78,4.7,8529
B08XJKWGSS,4.8,18298
B07PWJ3KJ2,4.6,2873
B07B98XXMN,4.7,5059
B07GFFQKKG,4.6,65
B0C7HC84ZY,4.8,165
B0C7LRRN6H,4.6,85
B09Y68LTDM,4.8,274
B0066O8WWC,4.6,890
B01ELJIK2U,4.7,464
B00168A08C,4.8,3852
B000PAIDS6,4.6,697
B000MK4SGU,4.6,1508
B096T92DH9,4.6,234
B003O2RF5Y,4.7,2709
B07BBS9QVY,4.7,176
B0BJ4NVR2K,4.8,287
B0C8BR9XWB,4.8,10631
B00AFTQ4X8,4.8,5426
B00ASQPKFG,4.3,623
B00DOAVKSY,4.6,1141
B07BSYS5XC,4.5,396
B088HF5ZQ1,4.6,8957
0804853630,4.7,442
B0C9VS8VW1,4.7,107
B08FFCBBYC,4.6,632
B004O7FFR8,4.7,1303
B0009RLJZ4,4.5,1199
0804832420,4.6,2118
B000EFZKRY,4.7,1571
B006P1Z4WM,4.7,378
B0CF6ZJ43X,4.8,80
B001CE5DLE,4.8,1985
B00114LTMC,4.8,1482
B0B5M68YMK,4.6,108
B07YNFBXP1,4.7,726
B00REIQW08,4.7,1028
B000E168FQ,4.6,3520
B00114RF8O,4.2,3992
B00U6WDI4W,4.8,1864
B0BGMB33CC,4.8,227
B06XG2G5TD,4.4,195
B01CLXTUUE,4.4,1958
B0C8BQMHZY,4.9,74
B009EE64U8,4.7,531
B0C88Y7V4W,4.5,129
B0C7HC9NKP,4.7,873
B006ARD7PW,4.8,2700
B00006IDOT,4.7,1414
B01HTM4V88,4.4,107
B00NZGD6OS,4.7,2343
B00CHQ8IJA,4.5,3990
B00SWWFRLK,4.6,97
B00LXBF03C,4.7,1749
B00002Z75G,4.6,1440
B00004TS60,4.7,699
B008V9994A,4.8,5236
B0B487W56Q,4.6,256
B00026ZEDK,4.5,10206
B00C90WLGU,4.6,1029
B00CDB8272,4.6,742
B00004TS5X,4.7,5644
B008LFVQF4,4.5,642
B008LAFBUA,4.6,10429
B00PEFEN3G,4.7,778
B074XP7H4Y,4.6,919
B0B8QH2JRF,4.5,3301
B0018N22FO,4.8,1572
B0013NVA7K,4.8,2968
B09HN2MMTS,4.5,2159
B001Y3YSJG,4.7,631
B00114TFQO,4.5,2529
0804852413,4.7,1552
B00407VNT6,3.9,325
B001E0HO6S,4.4,255
B0084DC3KA,4.8,2243
B009UOMMWQ,4.6,3683
B005FMCZK6,4.8,20256
B09QXZQTR4,4.8,194
B07P5J5QJV,4.7,326
B006MWVO2S,4.1,466
B001CNC98K,4.5,4660
B00C775504,4.7,3530
B0009IR3UI,4.6,1453
B086BJ69H4,4.7,272
B07GVXV9NM,4.6,241
B000TFKCA4,4.7,470
B000095S4R,4.8,270
B000E18CDM,4.7,2285
B084PW4F12,4.7,201
B00006IF5S,4.7,432
B096T96J96,4.6,1848
B004KYV4XO,4.5,842
B003SLAAOO,4.6,2644
B008O5TRHU,4.8,3250
B0016O6QUW,4.8,143
B011Q0YYJA,4.7,34185
B0C1CT96J6,4.9,94
B0BCG2LF28,4.6,340
B005J0XLO8,4.0,1150
B00CI1U5NQ,4.7,2160
0804845433,4.6,1313
B00114R9B2,4.8,2217
B07SQ43JT2,4.5,2129
B00ATGB9DW,4.7,1076
B075CHMVN9,4.6,3038
B000DZD0BI,4.4,1499
B00DGPLWQC,4.5,1004
B0042SWOSW,4.6,2158
B0BY9NLSJP,4.5,124
B07H41QL5L,4.5,1245
B007BFS9KU,4.3,883
B07RMQ72RG,4.7,4710
0804849366,4.6,1337
B08C6Q34Q6,4.8,1677
B006P1Z472,4.6,601
B01LZEJ596,4.8,775
B000095S4P,4.8,341
B000XAOKPS,4.6,1445
B0BQVZN7PS,4.7,113
B01AW5VCUE,4.8,2182
B00006IDOD,4.7,235
B0C7VCYWXF,4.0,127
B0017TGQG0,4.5,404
B0019IISD8,4.4,901
B000HFUEJU,4.8,466
B0017L2E5A,4.7,566
B0033UNIQC,4.7,5917
B00YNZ5G3O,4.7,652
B01N1T2IYZ,4.5,1120
B000BK7NWC,4.4,2544
B00DHF4UGK,4.5,91
B08N362145,4.7,289
B01GV0U9SK,4.3,336
B00B6UHFZ6,4.8,341
B0CF73ZMW3,4.9,44
B000YZ7R2K,4.5,1400
B0038NYJP8,4.4,785
B09YKQLJ36,4.6,446
B09417CXDK,4.6,442
B00L2DYWYY,4.7,1147
B0025TZ26Q,4.7,2945
B000S14MNC,4.8,4070
B0BNWC8131,4.6,366
B000B836LQ,4.4,538
B010R2SATS,4.7,2929
B01M5IX3L1,4.2,2990
B06Y6PW3TH,4.5,5579
B01M1GSS48,4.6,1185
1574215051,4.5,5350
B0010FO3R0,4.8,1084
B0741LMYPP,4.3,5147
B0B4BNZDKX,4.4,163
B0759YHRSF,4.4,136
B000RTM1YM,4.8,139
B000KNPWD2,4.6,2568
B0C3845XZ6,5.0,4
B078C4VYT6,4.8,1574
B0027ACSF6,4.6,538
B00ETVVKUK,4.6,617
B000095JB5,4.8,6534
B003W0OK56,4.6,5467
B003R7YIAG,4.6,3261
B071W62HFM,4.4,130
B000OMZXP6,4.3,7165
1454921897,4.8,1113
B08XMV496V,4.4,96
B000LWCPV4,4.3,41394
B001GV085O,4.4,604
B0CKFM9X8Q,4.9,22
B01HZMO5MY,4.1,84
B00DV91GBY,4.8,2625
B0B5R5PRGB,4.5,1062
B006X3PWV0,4.8,624
B00MFJREA8,4.4,1251
B0018NBPJ8,4.9,4388
B000Y9FBVU,4.7,468
B01C60C72U,4.6,1632
B004BPPHYE,4.6,516
B01C4MARCW,4.3,1455
B000FSS3A6,4.6,4595
B07143WC4F,4.6,964
B084PW9NCM,4.8,129
B005J0XM1U,4.8,3530
B00JKHFRPC,4.7,88
B0CRCG8DT5,4.8,1215
B000KNJEYA,4.2,932
B0000AQODQ,4.7,2743
B07CZDPPVJ,4.6,4584
B00G6REH4Q,4.4,1318
B01MRUCOU3,4.6,355
B0879282NK,4.8,323
B00161UQOC,4.4,2626
B00SW6KEV4,4.5,793
B001FD626C,4.4,173
B000SAR6MC,4.7,151
B00006IDRT,4.7,799
B00TSA3R94,4.5,441
B0BCQW6FKY,4.5,144
B00N28F4XU,4.7,685
B09NMSR2L2,4.7,636
B0018N6SLS,4.8,2858
B06XG9XHCG,4.7,3549
B000S16WQM,4.7,1760
B00008XPDB,4.8,239
B00G71DEV8,4.6,3888
B006TIMNL6,4.8,6334
B01BHG10P4,4.6,685
B07S182Q1H,4.8,246
B07GLCLCPD,4.6,429
B00VFX5OJ8,4.6,1978
B096T8N54D,4.6,591
B07RB5MV7Q,4.7,451
B0001DU6RS,4.7,7206
B0018N3SZ2,4.4,1056
B0013JNERS,4.9,1299
B003O2VCXK,4.7,973
B018ZH6FR6,4.8,1598
B000VL03NC,4.8,1344
B084Q6TLP4,4.8,216
B0001DT3ZE,4.6,7788
B0CGV83JRC,4.6,85
B00MTKRTBC,4.3,1948
B082P4188M,4.8,1735
B07HFK4K48,4.7,1064
B001PCRKEG,4.4,528
B09HN3Q8ZS,4.6,1259
B07V8X5W5R,4.6,5541
B00BDRILLO,4.8,1959
B000Q3GVNG,4.5,3034
B00OY0T97M,4.7,5642
B09GBDDF5Z,4.0,283
B000CSN35E,4.7,1445
B000BZZ32E,4.2,919
B0719F5N1T,4.6,795
B0009IR3R6,4.7,324
B07S1B8Y4H,4.6,100
B002YLV8XG,4.8,427
B008PTXZ64,4.4,624
B079W5335F,4.7,1255
B07J5Q8BX9,4.5,3579
B00JKHFZWC,4.7,187
B0055CARP6,4.4,1639
B0078ZZ83Y,4.8,2268
B002PI751C,4.7,8448
B07TF4W6FW,4.6,9394
B00N37SWX4,4.6,587
B0CJJPMHZ2,4.1,5427
B000XZTOOA,4.7,1677
B004ISBUXG,4.7,2250
B087DYHMZ2,4.4,542
B084DWDBGR,4.9,1931
B09Q64ZH3B,4.6,433
B00172TD5S,4.6,2788
B000W5HTX4,4.5,2225
B005X4T81A,4.6,785
B001BLTV5W,4.8,1839
B06XRRN4VL,4.6,4570
B00LSWT1N6,4.5,1500
B004GJBHO4,4.7,1322
B00441TYXU,4.5,190
B000FAFJQ0,4.4,4863
B07KG7YVD8,4.6,682
B001C1NMO2,4.6,1592
B000B7S3JC,4.7,1127
B07LC47M8F,4.6,1733
B08VFGXYF3,4.5,79
B08BVSXHCP,4.7,253
B007X6YQO0,4.6,2513
B08B4XMJKK,4.7,328
B07CGXLHZW,4.6,1695
B09NLB4L35,4.4,39
B07WC7P33Q,4.8,207
B089Q6R85S,4.7,401
B0011456JE,4.7,505
B005IDB6ZM,4.6,353
B000YQKSLQ,4.8,463
B005EIDO9W,4.6,95
B001UAH16K,4.7,629
B007X952XG,4.7,358
B004D5NDS4,4.5,118
B0021GN2BA,4.7,1402
B0BK1Z5RGX,5.0,3
B000YQGOO6,4.7,280
B000GBT9FA,4.5,755
B0B1S25S64,3.8,105
B00VLNPSGG,4.2,170
B004BP8750,5.0,19
B09RRZT88L,4.3,22
