ASIN,MainRankingValue,MainRankingCategory,SubRankingCategory,SubRankingValue
B073XR4X72,35,Tools & Home Improvement,Picture Hanging Hardware,1.0
B00178KLEY,141,"Arts, Crafts & Sewing",Art Glues & Pastes,8.0
B000P0LNRE,61,"Arts, Crafts & Sewing",Craft Scissors,4.0
B001AH5EXK,299,"Arts, Crafts & Sewing",Craft Glue Guns,4.0
B00KD6YW2I,218,"Arts, Crafts & Sewing",Art Glues & Pastes,10.0
B00161S2RK,829,Office Products,Paper Trimmer Blades,1.0
B019CSHSW8,1636,Tools & Home Improvement,Power Shears & Nibblers,1.0
B002TOL3ZQ,127,"Arts, Crafts & Sewing",Arts & Crafts Tape,2.0
B002TOL44Q,699,"Arts, Crafts & Sewing",Arts & Crafts Tape,16.0
B000UU6SR4,433,"Arts, Crafts & Sewing",Craft Scissors,13.0
B0B5G72HM2,2419,Tools & Home Improvement,Picture Hanging Hardware,20.0
B08XKLQBBW,247,"Arts, Crafts & Sewing",Candle Making Wax,4.0
B00004Z2U0,1584,Office Products,Paper Trimmer Blades,2.0
B003W0J9ES,279,"Arts, Crafts & Sewing",Quilting Cutting Mats,4.0
B09BW3G5FY,1040,"Arts, Crafts & Sewing",Art Glues & Pastes,33.0
B002NQ2K16,294,"Arts, Crafts & Sewing",Mixed Media Paper,1.0
B0058TW286,2535,Office Products,Stack Paper Trimmers,2.0
B001KZC7K0,5656,Tools & Home Improvement,Spray Paint,45.0
B000PCY94Q,1907,"Arts, Crafts & Sewing",Glue Sticks,8.0
B00OLOXX9G,1422,"Arts, Crafts & Sewing",Floral Foam,7.0
B00HC18CI2,2187,"Arts, Crafts & Sewing",Craft Glue Guns,8.0
B00JWFIKOC,2141,"Arts, Crafts & Sewing",Art Knives & Blades,7.0
B00IR153UG,2527,"Arts, Crafts & Sewing",Fabric Adhesives,44.0
B000XAOSHS,2356,"Arts, Crafts & Sewing",Art Glues & Pastes,63.0
B0000C0CIR,2452,"Arts, Crafts & Sewing",Transfer Paper,19.0
B000TK4HNC,7130,Tools & Home Improvement,Spray Paint,54.0
B00CHQ7IBO,2868,"Arts, Crafts & Sewing",Art Glues & Pastes,78.0
B000F7ASAU,1239,"Arts, Crafts & Sewing",Construction Paper,9.0
B000BNLLHW,2904,"Arts, Crafts & Sewing",Quilting Rotary Cutters,9.0
B016IAO14G,2181,"Arts, Crafts & Sewing",Craft Scissors,43.0
B00CPD0O1U,1935,"Arts, Crafts & Sewing",Palette Paper,1.0
B001687ZDA,3307,"Arts, Crafts & Sewing",Fabric Adhesives,52.0
B085G4WXP1,8391,Tools & Home Improvement,Wood Chisels,3.0
B093CJY92Y,3602,"Arts, Crafts & Sewing",Kraft Paper,18.0
B0006HUJ0S,2655,"Arts, Crafts & Sewing",Art Blades,7.0
B00161UNSG,2800,"Arts, Crafts & Sewing",Glue Sticks,14.0
B0CNXY3X25,3838,"Arts, Crafts & Sewing",Craft Shears,3.0
B00C0YOGEU,4101,"Arts, Crafts & Sewing",Adhesive Sprays,7.0
B07PGKTJBT,5683,"Arts, Crafts & Sewing",Art Tissue,12.0
B079W5KWQ8,976,"Arts, Crafts & Sewing",Quilting Cutting Mats,7.0
B0013J0HI2,3404,"Arts, Crafts & Sewing",Pottery & Modeling Clays,25.0
B00MFU8A0A,644,"Arts, Crafts & Sewing",Arts & Crafts Tape,14.0
B000WG20SC,2301,"Arts, Crafts & Sewing",Newsprint Paper,1.0
B00N37SWX4,3412,"Arts, Crafts & Sewing",Embroidery Floss,10.0
B06XRRN4VL,15482,"Arts, Crafts & Sewing",Latch Hook Kits,6.0
