MainCategory,SubCategory,Product Name,Price,Link,Rating,Review
Arts & Crafts,Crafting,"Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets - 9 x 11.5-Inch, 200-Pack, 3mil ",20.,https://www.amazon.com//AmazonBasics-Thermal-Laminating-Plastic-Laminator/dp/B079KL4C91/ref=sr_1_2?dib=eyJ2IjoiMSJ9.sAHH3HxIcgleCXe-U9mCt-ixI0gJD64RxC5lZB-j0G1NK9sussjt2nwVUmLV20A8V-kQPA3qCYahpJbBFEG5YVvqRNfmAbWkJPr9e-uTOXpnndvkfh0SJYM9MyNifkYG7pVK0mmi0fMjG-dYl3Ac7tK-WhRDS5ZqMStKWk68utLdAHZ5CU0PIhtwh0HXG2hrlUmeAbDztYZIl-oITOSp8wgnKr2PmWvpdVu-e98TuFycZ6IEP53jENzR8aOPIPAaDMJZ1xx3AlmrUqzA5qVaxqG2dc7MjeUcwHgfXXgHW78.7wG5KrVeIkVav8NMi8lVPnEIXdutzB5TsDtqkVqrS6E&dib_tag=se&qid=1716676546&s=arts-crafts-intl-ship&sr=1-2,4.8,"81,821"
Arts & Crafts,Crafting,"Command Large Picture Hanging Strips, White, Holds up to 16 lbs, 14-Pairs, Easy to Open Packaging ",12.,https://www.amazon.com//Command-Picture-Decorate-Damage-Free-PH206-14NA/dp/B073XR4X72/ref=sr_1_3?dib=eyJ2IjoiMSJ9.sAHH3HxIcgleCXe-U9mCt-ixI0gJD64RxC5lZB-j0G1NK9sussjt2nwVUmLV20A8V-kQPA3qCYahpJbBFEG5YVvqRNfmAbWkJPr9e-uTOXpnndvkfh0SJYM9MyNifkYG7pVK0mmi0fMjG-dYl3Ac7tK-WhRDS5ZqMStKWk68utLdAHZ5CU0PIhtwh0HXG2hrlUmeAbDztYZIl-oITOSp8wgnKr2PmWvpdVu-e98TuFycZ6IEP53jENzR8aOPIPAaDMJZ1xx3AlmrUqzA5qVaxqG2dc7MjeUcwHgfXXgHW78.7wG5KrVeIkVav8NMi8lVPnEIXdutzB5TsDtqkVqrS6E&dib_tag=se&qid=1716676546&s=arts-crafts-intl-ship&sr=1-3,4.6,"126,102"
Arts & Crafts,Crafting,"Crayola Air Dry Clay (5lb Bucket), Natural White Modeling Clay for Kids, Sculpting Material, Craft Supplies for Classrooms [Amazon Exclusive] ",10.,https://www.amazon.com//Crayola-Natural-White-Modeling-Bucket/dp/B089T7PX27/ref=sr_1_4?dib=eyJ2IjoiMSJ9.sAHH3HxIcgleCXe-U9mCt-ixI0gJD64RxC5lZB-j0G1NK9sussjt2nwVUmLV20A8V-kQPA3qCYahpJbBFEG5YVvqRNfmAbWkJPr9e-uTOXpnndvkfh0SJYM9MyNifkYG7pVK0mmi0fMjG-dYl3Ac7tK-WhRDS5ZqMStKWk68utLdAHZ5CU0PIhtwh0HXG2hrlUmeAbDztYZIl-oITOSp8wgnKr2PmWvpdVu-e98TuFycZ6IEP53jENzR8aOPIPAaDMJZ1xx3AlmrUqzA5qVaxqG2dc7MjeUcwHgfXXgHW78.7wG5KrVeIkVav8NMi8lVPnEIXdutzB5TsDtqkVqrS6E&dib_tag=se&qid=1716676546&s=arts-crafts-intl-ship&sr=1-4,4.6,"12,865"
Arts & Crafts,Crafting,"Scotch Thermal Laminating Pouches, For Use With Thermal Laminators, 8.9 x 11.4 Inches, Letter Size Sheets, 100 Count (Pack of 1) ",15.,https://www.amazon.com//Scotch-Thermal-Laminating-100-Pack-TP3854-100/dp/B007VBXB48/ref=sr_1_5?dib=eyJ2IjoiMSJ9.sAHH3HxIcgleCXe-U9mCt-ixI0gJD64RxC5lZB-j0G1NK9sussjt2nwVUmLV20A8V-kQPA3qCYahpJbBFEG5YVvqRNfmAbWkJPr9e-uTOXpnndvkfh0SJYM9MyNifkYG7pVK0mmi0fMjG-dYl3Ac7tK-WhRDS5ZqMStKWk68utLdAHZ5CU0PIhtwh0HXG2hrlUmeAbDztYZIl-oITOSp8wgnKr2PmWvpdVu-e98TuFycZ6IEP53jENzR8aOPIPAaDMJZ1xx3AlmrUqzA5qVaxqG2dc7MjeUcwHgfXXgHW78.7wG5KrVeIkVav8NMi8lVPnEIXdutzB5TsDtqkVqrS6E&dib_tag=se&qid=1716676546&s=arts-crafts-intl-ship&sr=1-5,4.9,"72,876"
Arts & Crafts,Crafting,"Neenah Index Cardstock, 8.5"" x 11"", 90 lb/163 gsm, White, Lightweight, 94 Brightness, 300 Sheets (91437) ",20.,https://www.amazon.com//Neenah-Cardstock-Heavy-Weight-Brightness-91437/dp/B07D4YF3K4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.sAHH3HxIcgleCXe-U9mCt-ixI0gJD64RxC5lZB-j0G1NK9sussjt2nwVUmLV20A8V-kQPA3qCYahpJbBFEG5YVvqRNfmAbWkJPr9e-uTOXpnndvkfh0SJYM9MyNifkYG7pVK0mmi0fMjG-dYl3Ac7tK-WhRDS5ZqMStKWk68utLdAHZ5CU0PIhtwh0HXG2hrlUmeAbDztYZIl-oITOSp8wgnKr2PmWvpdVu-e98TuFycZ6IEP53jENzR8aOPIPAaDMJZ1xx3AlmrUqzA5qVaxqG2dc7MjeUcwHgfXXgHW78.7wG5KrVeIkVav8NMi8lVPnEIXdutzB5TsDtqkVqrS6E&dib_tag=se&qid=1716676546&s=arts-crafts-intl-ship&sr=1-6,4.7,"13,108"
Arts & Crafts,Crafting,"Astrobrights/Neenah Bright White Cardstock, 8.5"" x 11"", 65 lb/176 gsm, White, 75 Sheets (90905-02) - Packaging May Vary ",6.,https://www.amazon.com//Neenah-Bright-Cardstock-Sheets-90905/dp/B003A2I5T8/ref=sr_1_7?dib=eyJ2IjoiMSJ9.sAHH3HxIcgleCXe-U9mCt-ixI0gJD64RxC5lZB-j0G1NK9sussjt2nwVUmLV20A8V-kQPA3qCYahpJbBFEG5YVvqRNfmAbWkJPr9e-uTOXpnndvkfh0SJYM9MyNifkYG7pVK0mmi0fMjG-dYl3Ac7tK-WhRDS5ZqMStKWk68utLdAHZ5CU0PIhtwh0HXG2hrlUmeAbDztYZIl-oITOSp8wgnKr2PmWvpdVu-e98TuFycZ6IEP53jENzR8aOPIPAaDMJZ1xx3AlmrUqzA5qVaxqG2dc7MjeUcwHgfXXgHW78.7wG5KrVeIkVav8NMi8lVPnEIXdutzB5TsDtqkVqrS6E&dib_tag=se&qid=1716676546&s=arts-crafts-intl-ship&sr=1-7,4.8,"21,906"
Arts & Crafts,Crafting,"FISKARS All Purpose Scissors - High Performance and Designed for Comfort and Cutting - Sharp to Cut but Soft to Hold. Perfect for Art, Crafts and the Office ",6.,https://www.amazon.com//FISKARS-All-Purpose-Scissors-Performance/dp/B002YIP97K/ref=sr_1_8?dib=eyJ2IjoiMSJ9.sAHH3HxIcgleCXe-U9mCt-ixI0gJD64RxC5lZB-j0G1NK9sussjt2nwVUmLV20A8V-kQPA3qCYahpJbBFEG5YVvqRNfmAbWkJPr9e-uTOXpnndvkfh0SJYM9MyNifkYG7pVK0mmi0fMjG-dYl3Ac7tK-WhRDS5ZqMStKWk68utLdAHZ5CU0PIhtwh0HXG2hrlUmeAbDztYZIl-oITOSp8wgnKr2PmWvpdVu-e98TuFycZ6IEP53jENzR8aOPIPAaDMJZ1xx3AlmrUqzA5qVaxqG2dc7MjeUcwHgfXXgHW78.7wG5KrVeIkVav8NMi8lVPnEIXdutzB5TsDtqkVqrS6E&dib_tag=se&qid=1716676546&s=arts-crafts-intl-ship&sr=1-8,4.8,"18,629"
Arts & Crafts,Crafting,"Scotch Thermal Laminating Pouches,200 Pack Laminating Sheets,3 Mil,8.9 x 11.4 Inches, Education Supplies & Craft Supplies, For Use With Thermal Laminators, Letter Size Sheets (TP3854-200) ",27.,https://www.amazon.com//Scotch-Laminating-11-4-Inches-200-Pack-TP3854-200/dp/B00CBAWIIY/ref=sr_1_9?dib=eyJ2IjoiMSJ9.sAHH3HxIcgleCXe-U9mCt-ixI0gJD64RxC5lZB-j0G1NK9sussjt2nwVUmLV20A8V-kQPA3qCYahpJbBFEG5YVvqRNfmAbWkJPr9e-uTOXpnndvkfh0SJYM9MyNifkYG7pVK0mmi0fMjG-dYl3Ac7tK-WhRDS5ZqMStKWk68utLdAHZ5CU0PIhtwh0HXG2hrlUmeAbDztYZIl-oITOSp8wgnKr2PmWvpdVu-e98TuFycZ6IEP53jENzR8aOPIPAaDMJZ1xx3AlmrUqzA5qVaxqG2dc7MjeUcwHgfXXgHW78.7wG5KrVeIkVav8NMi8lVPnEIXdutzB5TsDtqkVqrS6E&dib_tag=se&qid=1716676546&s=arts-crafts-intl-ship&sr=1-9,4.8,"36,796"
Arts & Crafts,Crafting,"Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904) ",14.,https://www.amazon.com//Neenah-Bright-White-Cardstock-Inches/dp/B00006IDRW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.sAHH3HxIcgleCXe-U9mCt-ixI0gJD64RxC5lZB-j0G1NK9sussjt2nwVUmLV20A8V-kQPA3qCYahpJbBFEG5YVvqRNfmAbWkJPr9e-uTOXpnndvkfh0SJYM9MyNifkYG7pVK0mmi0fMjG-dYl3Ac7tK-WhRDS5ZqMStKWk68utLdAHZ5CU0PIhtwh0HXG2hrlUmeAbDztYZIl-oITOSp8wgnKr2PmWvpdVu-e98TuFycZ6IEP53jENzR8aOPIPAaDMJZ1xx3AlmrUqzA5qVaxqG2dc7MjeUcwHgfXXgHW78.7wG5KrVeIkVav8NMi8lVPnEIXdutzB5TsDtqkVqrS6E&dib_tag=se&qid=1716676546&s=arts-crafts-intl-ship&sr=1-10,4.7,"5,633"
Arts & Crafts,Crafting,"Mod Podge Gloss Sealer, Glue & Finish: All-in-One Craft Solution- Quick Dry, Easy Clean, for Wood, Paper, Fabric & More. Non-Toxic - Craft with Confidence, Made in USA, 8 oz., Pack of 1 ",3.,https://www.amazon.com//CS11201-Mod-Podge-8-Ounce-1-Pack/dp/B003W0XR8M/ref=sr_1_11?dib=eyJ2IjoiMSJ9.sAHH3HxIcgleCXe-U9mCt-ixI0gJD64RxC5lZB-j0G1NK9sussjt2nwVUmLV20A8V-kQPA3qCYahpJbBFEG5YVvqRNfmAbWkJPr9e-uTOXpnndvkfh0SJYM9MyNifkYG7pVK0mmi0fMjG-dYl3Ac7tK-WhRDS5ZqMStKWk68utLdAHZ5CU0PIhtwh0HXG2hrlUmeAbDztYZIl-oITOSp8wgnKr2PmWvpdVu-e98TuFycZ6IEP53jENzR8aOPIPAaDMJZ1xx3AlmrUqzA5qVaxqG2dc7MjeUcwHgfXXgHW78.7wG5KrVeIkVav8NMi8lVPnEIXdutzB5TsDtqkVqrS6E&dib_tag=se&qid=1716676546&s=arts-crafts-intl-ship&sr=1-11,4.7,"27,825"
