MainCategory,SubCategory,Product Name,Price,Link,Rating,Review
Arts & Crafts,Needlework,"SINGER 01125 Assorted Hand Needles - Betweens, Chenille, Darners, Embroidery, Sharps & Tapestry, Assorted Sizes, 45-Count, ",2.,https://www.amazon.com//SINGER-01125-Assorted-Hand-Needles/dp/B002PI751C/ref=sr_1_2?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-2,4.7,"8,448"
Arts & Crafts,Needlework,"LOVIMAG Premium Rainbow Color Embroidery Floss 140 Skeins Per Pack with Cotton for Cross Stitch Threads, Bracelet Yarn, Craft Floss, Aroic Embroidery Floss Set ",12.,https://www.amazon.com//LOVIMAG-Premium-Rainbow-Embroidery-Bracelet/dp/B07TF4W6FW/ref=sr_1_3?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-3,4.6,"9,394"
Arts & Crafts,Needlework,"The Janlynn Corporation Janlynn Floss Box, 1 Count (Pack of 1), Clear ",2.,https://www.amazon.com//Janlynn-Corporation-Cross-Stitch-Floss-Holder/dp/B00N37SWX4/ref=sr_1_4?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-4,4.6,587
Arts & Crafts,Needlework,"Lexibook, Disney Stitch, Stitch Nightlight Alarm Clock, Sounds and Melodies, LCD Backlit Screen, Luminous, Snooze, Blue, RL800D ",34.,https://www.amazon.com//Lexibook-Nightlight-Melodies-Luminous-RL800D/dp/B0CJJPMHZ2/ref=sr_1_5?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-5,4.1,"5,427"
Arts & Crafts,Needlework,"DMC 1767-24 Tapestry Hand Needles, 6-Pack, Size 24 ",1.,https://www.amazon.com//DMC-1767-24-Tapestry-Needles-6-Pack/dp/B000XZTOOA/ref=sr_1_6?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-6,4.7,"1,677"
Arts & Crafts,Needlework,"Dritz Knit Picker Latch Hook for Snags, 3-Inch, Blue ",6.,https://www.amazon.com//Dritz-26615-Latch-Picker-3-Inch/dp/B004ISBUXG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-7,4.7,"2,250"
Arts & Crafts,Needlework,"CraftLab Embroidery Sewing Kit for Beginners, Kids Craft Kit Gift for Girls Boys Ages 8-12, 10 Projects, Embroidery Hoops, Fabric, Patterns, Floss, Needles, Needlepoint Cross Stitching Supplies ",23.,https://www.amazon.com//CraftLab-Embroidery-Beginners-Patterns-Stitching/dp/B087DYHMZ2/ref=sr_1_8?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-8,4.4,542
Arts & Crafts,Needlework,"Disney’s Lilo & Stitch Collectible Stitch Figure Set, 5-pieces, Officially Licensed Kids Toys for Ages 3 Up by Just Play ",12.,https://www.amazon.com//Disneys-Collectible-5-pieces-Officially-Licensed/dp/B084DWDBGR/ref=sr_1_9?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-9,4.9,"1,931"
Arts & Crafts,Needlework,"Boye Offset Ergonomic Latch Hook Tool Craft Accessory, 6.5"" L, Blue ",4.,https://www.amazon.com//Boye-Offset-Ergonomic-Latch-Accessory/dp/B09Q64ZH3B/ref=sr_1_10?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-10,4.6,433
Arts & Crafts,Needlework,Clover 507079 Pen Style Needle Felting Tool- Original Version- 1 Pack ,11.,https://www.amazon.com//Clover-507079-Style-Needle-Felting/dp/B00172TD5S/ref=sr_1_11?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-11,4.6,"2,788"
