MainCategory,SubCategory,Product Name,Price,Link,Rating,Review
Computer,External Components,"Toshiba Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black - HDTB520XK3AA ",71.,https://www.amazon.com//Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6NNVC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgVIlhKLX8vjfEFkFqiOmclWjUXCk8RQ-7mbBXvjpmEG6r1kHRNXNcNxPWBhSOntazDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWGIQ533nLUz32hbf9IORsbj_J0bv3lMlsvZC1P8JNvJ97saedC_99E_DUmQd6I1tALEkTF_r6jnp_efFvGE04041LUFgTthWhSvYdEQDXWs4RWkrnFtmyTPwkSRrEqDEk2KNnYyvTQF47VO5xgk7IQ0.rWXfWwUGeM7uPPa5-9531683FFP8mSjwpZwhHHHDGjQ&dib_tag=se&qid=1716669917&s=computers-intl-ship&sr=1-5,4.7,"78,318"
Computer,External Components,"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-2T00-G25 ",168.,https://www.amazon.com//SanDisk-2TB-Extreme-Portable-SDSSDE61-2T00-G25/dp/B08HN37XC1/ref=sr_1_6?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgVIlhKLX8vjfEFkFqiOmclWjUXCk8RQ-7mbBXvjpmEG6r1kHRNXNcNxPWBhSOntazDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWGIQ533nLUz32hbf9IORsbj_J0bv3lMlsvZC1P8JNvJ97saedC_99E_DUmQd6I1tALEkTF_r6jnp_efFvGE04041LUFgTthWhSvYdEQDXWs4RWkrnFtmyTPwkSRrEqDEk2KNnYyvTQF47VO5xgk7IQ0.rWXfWwUGeM7uPPa5-9531683FFP8mSjwpZwhHHHDGjQ&dib_tag=se&qid=1716669917&s=computers-intl-ship&sr=1-6,4.6,"61,872"
Computer,External Components,"SAMSUNG T7 Shield 4TB Portable SSD - 1050MB/s, Rugged, Water & Dust Resistant, for Content Creators - Black ",299.,https://www.amazon.com//SAMSUNG-Shield-4TB-Portable-SSD/dp/B0BHZQGN26/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgVIlhKLX8vjfEFkFqiOmclWjUXCk8RQ-7mbBXvjpmEG6r1kHRNXNcNxPWBhSOntazDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWGIQ533nLUz32hbf9IORsbj_J0bv3lMlsvZC1P8JNvJ97saedC_99E_DUmQd6I1tALEkTF_r6jnp_efFvGE04041LUFgTthWhSvYdEQDXWs4RWkrnFtmyTPwkSRrEqDEk2KNnYyvTQF47VO5xgk7IQ0.rWXfWwUGeM7uPPa5-9531683FFP8mSjwpZwhHHHDGjQ&dib_tag=se&qid=1716669917&s=computers-intl-ship&sr=1-7,4.7,"11,950"
Computer,External Components,"SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray ",114.,https://www.amazon.com//SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgVIlhKLX8vjfEFkFqiOmclWjUXCk8RQ-7mbBXvjpmEG6r1kHRNXNcNxPWBhSOntazDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWGIQ533nLUz32hbf9IORsbj_J0bv3lMlsvZC1P8JNvJ97saedC_99E_DUmQd6I1tALEkTF_r6jnp_efFvGE04041LUFgTthWhSvYdEQDXWs4RWkrnFtmyTPwkSRrEqDEk2KNnYyvTQF47VO5xgk7IQ0.rWXfWwUGeM7uPPa5-9531683FFP8mSjwpZwhHHHDGjQ&dib_tag=se&qid=1716669917&s=computers-intl-ship&sr=1-8,4.8,"31,712"
Computer,External Components,"Seagate Storage Expansion Card For Xbox Series XS 1TB Solid State Drive - NVMe Expansion SSD, Quick Resume, Plug & Play, Licensed(STJR1000400) ",149.,https://www.amazon.com//Seagate-Storage-Expansion-Solid-State/dp/B08K3S6WJM/ref=sr_1_9?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgVIlhKLX8vjfEFkFqiOmclWjUXCk8RQ-7mbBXvjpmEG6r1kHRNXNcNxPWBhSOntazDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWGIQ533nLUz32hbf9IORsbj_J0bv3lMlsvZC1P8JNvJ97saedC_99E_DUmQd6I1tALEkTF_r6jnp_efFvGE04041LUFgTthWhSvYdEQDXWs4RWkrnFtmyTPwkSRrEqDEk2KNnYyvTQF47VO5xgk7IQ0.rWXfWwUGeM7uPPa5-9531683FFP8mSjwpZwhHHHDGjQ&dib_tag=se&qid=1716669917&s=computers-intl-ship&sr=1-9,4.8,"18,714"
Computer,External Components,"SAMSUNG T9 Portable SSD 4TB, USB 3.2 Gen 2x2 External Solid State Drive, Seq. Read Speeds Up to 2,000MB/s for Gaming, Students and Professionals,MU-PG4T0B/AM, Black (Pack of 1) ",379.,https://www.amazon.com//SAMSUNG-Portable-Professionals-MU-PG4T0B-AM/dp/B0CHFSZX9W/ref=sr_1_10?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgVIlhKLX8vjfEFkFqiOmclWjUXCk8RQ-7mbBXvjpmEG6r1kHRNXNcNxPWBhSOntazDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWGIQ533nLUz32hbf9IORsbj_J0bv3lMlsvZC1P8JNvJ97saedC_99E_DUmQd6I1tALEkTF_r6jnp_efFvGE04041LUFgTthWhSvYdEQDXWs4RWkrnFtmyTPwkSRrEqDEk2KNnYyvTQF47VO5xgk7IQ0.rWXfWwUGeM7uPPa5-9531683FFP8mSjwpZwhHHHDGjQ&dib_tag=se&qid=1716669917&s=computers-intl-ship&sr=1-10,4.7,652
Computer,External Components,"Western Digital 2TB Elements Portable HDD, External Hard Drive, USB 3.0 for PC & Mac, Plug and Play Ready - WDBU6Y0020BBK-WESN ",73.,https://www.amazon.com//Western-Digital-Elements-Portable-External/dp/B06W55K9N6/ref=sr_1_11?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgVIlhKLX8vjfEFkFqiOmclWjUXCk8RQ-7mbBXvjpmEG6r1kHRNXNcNxPWBhSOntazDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWGIQ533nLUz32hbf9IORsbj_J0bv3lMlsvZC1P8JNvJ97saedC_99E_DUmQd6I1tALEkTF_r6jnp_efFvGE04041LUFgTthWhSvYdEQDXWs4RWkrnFtmyTPwkSRrEqDEk2KNnYyvTQF47VO5xgk7IQ0.rWXfWwUGeM7uPPa5-9531683FFP8mSjwpZwhHHHDGjQ&dib_tag=se&qid=1716669917&s=computers-intl-ship&sr=1-11,4.7,"270,611"
Computer,External Components,CORSAIR 4000D AIRFLOW Tempered Glass Mid-Tower ATX Case - High-Airflow - Cable Management System - Spacious Interior - Two Included 120 mm Fans - Black ,89.,https://www.amazon.com//Corsair-4000D-Airflow-Tempered-Mid-Tower/dp/B08C7BGV3D/ref=sr_1_12?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgVIlhKLX8vjfEFkFqiOmclWjUXCk8RQ-7mbBXvjpmEG6r1kHRNXNcNxPWBhSOntazDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWGIQ533nLUz32hbf9IORsbj_J0bv3lMlsvZC1P8JNvJ97saedC_99E_DUmQd6I1tALEkTF_r6jnp_efFvGE04041LUFgTthWhSvYdEQDXWs4RWkrnFtmyTPwkSRrEqDEk2KNnYyvTQF47VO5xgk7IQ0.rWXfWwUGeM7uPPa5-9531683FFP8mSjwpZwhHHHDGjQ&dib_tag=se&qid=1716669917&s=computers-intl-ship&sr=1-12,4.8,"16,579"
Computer,External Components,"LaCie Rugged Mini 2TB External Hard Drive Portable HDD - USB 3.0/ 2.0 Compatible, Drop Shock Dust Rain Resistant Shuttle Drive, For Mac And PC Computer (LAC9000298), orange ",93.,https://www.amazon.com//LaCie-Rugged-External-Portable-LAC9000298/dp/B00IRV005E/ref=sr_1_16?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgVIlhKLX8vjfEFkFqiOmclWjUXCk8RQ-7mbBXvjpmEG6r1kHRNXNcNxPWBhSOntazDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWGIQ533nLUz32hbf9IORsbj_J0bv3lMlsvZC1P8JNvJ97saedC_99E_DUmQd6I1tALEkTF_r6jnp_efFvGE04041LUFgTthWhSvYdEQDXWs4RWkrnFtmyTPwkSRrEqDEk2KNnYyvTQF47VO5xgk7IQ0.rWXfWwUGeM7uPPa5-9531683FFP8mSjwpZwhHHHDGjQ&dib_tag=se&qid=1716669917&s=computers-intl-ship&sr=1-16,4.6,"27,802"
Computer,External Components,"SAMSUNG T7 Touch Portable SSD 2TB ,up to 1050MB/s, USB 3.2 External Solid State Drive, Black (MU-PC2T0K/WW) ",139.,https://www.amazon.com//Samsung-Touch-Portable-SSD-MU-PC2T0S/dp/B082YGVGQL/ref=sr_1_17?dib=eyJ2IjoiMSJ9.8XrYA0KBFX5J41C1S_L9xFwlLwYqjCU4IL2htV5t7dgVIlhKLX8vjfEFkFqiOmclWjUXCk8RQ-7mbBXvjpmEG6r1kHRNXNcNxPWBhSOntazDPw2V2epMH_mykdpf0tuKokS0T6XfKYr2iDuw-6TAWGIQ533nLUz32hbf9IORsbj_J0bv3lMlsvZC1P8JNvJ97saedC_99E_DUmQd6I1tALEkTF_r6jnp_efFvGE04041LUFgTthWhSvYdEQDXWs4RWkrnFtmyTPwkSRrEqDEk2KNnYyvTQF47VO5xgk7IQ0.rWXfWwUGeM7uPPa5-9531683FFP8mSjwpZwhHHHDGjQ&dib_tag=se&qid=1716669917&s=computers-intl-ship&sr=1-17,4.5,734
