MainCategory,SubCategory,Product Name,Price,Link,Rating,Review
Electronics,DataStorage,"SAMSUNG 990 PRO SSD 2TB PCIe 4.0 M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P2T0B/AM ",169.,https://www.amazon.com//SAMSUNG-Internal-Expansion-MZ-V9P2T0B-AM/dp/B0BHJJ9Y77/ref=sr_1_3?dib=eyJ2IjoiMSJ9.SIWQXSYmzqTZLle1_Wbt6VEk7NT1kiPiP2oCc3RWQUYt5TmLypezXXYCkmL_nhtWuappLuglG8ZSDA_LE99Q7k4uKZyvaZEbm1u4gfEp_8D0JIoMqZ9CKExSOpeoTkhYYKNLKxvEx26QolLb3vZEIDcuuDH_mE0pYAGIT7h1ugIOoJfkA5FYNV9xuUP157Oxf8Zv7zfB9Q-MqcUMEuQ_Ie_tCzJpICDhbRRELKBkZxfXvQGVehkZNwwIeciNAB1RnpIHuURrD0Zv6UQHHIfQuMEdIdLLgyWn9kaT9Zdymes.ERdH3DVLTU1gVL8Olb5-0eEeI6Wq57q2zJ16qFIiCVQ&dib_tag=se&qid=1716310875&s=computers-intl-ship&sr=1-3,4.8,"6,698"
Electronics,DataStorage,"Toshiba Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black - HDTB520XK3AA ",70.,https://www.amazon.com//Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6NNVC/ref=sr_1_4?dib=eyJ2IjoiMSJ9.SIWQXSYmzqTZLle1_Wbt6VEk7NT1kiPiP2oCc3RWQUYt5TmLypezXXYCkmL_nhtWuappLuglG8ZSDA_LE99Q7k4uKZyvaZEbm1u4gfEp_8D0JIoMqZ9CKExSOpeoTkhYYKNLKxvEx26QolLb3vZEIDcuuDH_mE0pYAGIT7h1ugIOoJfkA5FYNV9xuUP157Oxf8Zv7zfB9Q-MqcUMEuQ_Ie_tCzJpICDhbRRELKBkZxfXvQGVehkZNwwIeciNAB1RnpIHuURrD0Zv6UQHHIfQuMEdIdLLgyWn9kaT9Zdymes.ERdH3DVLTU1gVL8Olb5-0eEeI6Wq57q2zJ16qFIiCVQ&dib_tag=se&qid=1716310875&s=computers-intl-ship&sr=1-4,4.7,"78,193"
Electronics,DataStorage,"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-2T00-G25 ",175.,https://www.amazon.com//SanDisk-2TB-Extreme-Portable-SDSSDE61-2T00-G25/dp/B08HN37XC1/ref=sr_1_5?dib=eyJ2IjoiMSJ9.SIWQXSYmzqTZLle1_Wbt6VEk7NT1kiPiP2oCc3RWQUYt5TmLypezXXYCkmL_nhtWuappLuglG8ZSDA_LE99Q7k4uKZyvaZEbm1u4gfEp_8D0JIoMqZ9CKExSOpeoTkhYYKNLKxvEx26QolLb3vZEIDcuuDH_mE0pYAGIT7h1ugIOoJfkA5FYNV9xuUP157Oxf8Zv7zfB9Q-MqcUMEuQ_Ie_tCzJpICDhbRRELKBkZxfXvQGVehkZNwwIeciNAB1RnpIHuURrD0Zv6UQHHIfQuMEdIdLLgyWn9kaT9Zdymes.ERdH3DVLTU1gVL8Olb5-0eEeI6Wq57q2zJ16qFIiCVQ&dib_tag=se&qid=1716310875&s=computers-intl-ship&sr=1-5,4.6,"61,664"
Electronics,DataStorage,"SAMSUNG 980 PRO SSD 2TB PCIe NVMe Gen 4 Gaming M.2 Internal Solid State Drive Memory Card , Maximum Speed, Thermal Control MZ-V8P2T0B/AM ",169.,https://www.amazon.com//SAMSUNG-Internal-Gaming-MZ-V8P2T0B-AM/dp/B08RK2SR23/ref=sr_1_6?dib=eyJ2IjoiMSJ9.SIWQXSYmzqTZLle1_Wbt6VEk7NT1kiPiP2oCc3RWQUYt5TmLypezXXYCkmL_nhtWuappLuglG8ZSDA_LE99Q7k4uKZyvaZEbm1u4gfEp_8D0JIoMqZ9CKExSOpeoTkhYYKNLKxvEx26QolLb3vZEIDcuuDH_mE0pYAGIT7h1ugIOoJfkA5FYNV9xuUP157Oxf8Zv7zfB9Q-MqcUMEuQ_Ie_tCzJpICDhbRRELKBkZxfXvQGVehkZNwwIeciNAB1RnpIHuURrD0Zv6UQHHIfQuMEdIdLLgyWn9kaT9Zdymes.ERdH3DVLTU1gVL8Olb5-0eEeI6Wq57q2zJ16qFIiCVQ&dib_tag=se&qid=1716310875&s=computers-intl-ship&sr=1-6,4.8,"39,633"
Electronics,DataStorage,"Amazon Basics 128 gb Ultra Fast USB 3.1 Flash Drive, Black ",14.,https://www.amazon.com//Amazon-Basics-128GB-Ultra-Flash/dp/B0B6148YKN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.SIWQXSYmzqTZLle1_Wbt6VEk7NT1kiPiP2oCc3RWQUYt5TmLypezXXYCkmL_nhtWuappLuglG8ZSDA_LE99Q7k4uKZyvaZEbm1u4gfEp_8D0JIoMqZ9CKExSOpeoTkhYYKNLKxvEx26QolLb3vZEIDcuuDH_mE0pYAGIT7h1ugIOoJfkA5FYNV9xuUP157Oxf8Zv7zfB9Q-MqcUMEuQ_Ie_tCzJpICDhbRRELKBkZxfXvQGVehkZNwwIeciNAB1RnpIHuURrD0Zv6UQHHIfQuMEdIdLLgyWn9kaT9Zdymes.ERdH3DVLTU1gVL8Olb5-0eEeI6Wq57q2zJ16qFIiCVQ&dib_tag=se&qid=1716310875&s=computers-intl-ship&sr=1-7,4.6,"13,760"
Electronics,DataStorage,"SanDisk 128GB Ultra USB 3.0 Flash Drive - SDCZ48-128G-GAM46, Black ",12.,https://www.amazon.com//SanDisk-128GB-Ultra-Flash-Drive/dp/B081QSJNRJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.SIWQXSYmzqTZLle1_Wbt6VEk7NT1kiPiP2oCc3RWQUYt5TmLypezXXYCkmL_nhtWuappLuglG8ZSDA_LE99Q7k4uKZyvaZEbm1u4gfEp_8D0JIoMqZ9CKExSOpeoTkhYYKNLKxvEx26QolLb3vZEIDcuuDH_mE0pYAGIT7h1ugIOoJfkA5FYNV9xuUP157Oxf8Zv7zfB9Q-MqcUMEuQ_Ie_tCzJpICDhbRRELKBkZxfXvQGVehkZNwwIeciNAB1RnpIHuURrD0Zv6UQHHIfQuMEdIdLLgyWn9kaT9Zdymes.ERdH3DVLTU1gVL8Olb5-0eEeI6Wq57q2zJ16qFIiCVQ&dib_tag=se&qid=1716310875&s=computers-intl-ship&sr=1-8,4.7,"36,160"
Electronics,DataStorage,Kingston NV2 1TB M.2 2280 NVMe Internal SSD | PCIe 4.0 Gen 4x4 | Up to 3500 MB/s | SNV2S/1000G ,60.,https://www.amazon.com//Kingston-2280-Internal-SNV2S-1000G/dp/B0BBWH1R8H/ref=sr_1_9?dib=eyJ2IjoiMSJ9.SIWQXSYmzqTZLle1_Wbt6VEk7NT1kiPiP2oCc3RWQUYt5TmLypezXXYCkmL_nhtWuappLuglG8ZSDA_LE99Q7k4uKZyvaZEbm1u4gfEp_8D0JIoMqZ9CKExSOpeoTkhYYKNLKxvEx26QolLb3vZEIDcuuDH_mE0pYAGIT7h1ugIOoJfkA5FYNV9xuUP157Oxf8Zv7zfB9Q-MqcUMEuQ_Ie_tCzJpICDhbRRELKBkZxfXvQGVehkZNwwIeciNAB1RnpIHuURrD0Zv6UQHHIfQuMEdIdLLgyWn9kaT9Zdymes.ERdH3DVLTU1gVL8Olb5-0eEeI6Wq57q2zJ16qFIiCVQ&dib_tag=se&qid=1716310875&s=computers-intl-ship&sr=1-9,4.7,"19,330"
Electronics,DataStorage,"Samsung 990 EVO SSD 1TB, PCIe Gen 4x4, Gen 5x2 M.2 2280 NVMe Internal Solid State Drive, Speeds Up to 5,000MB/s, Upgrade Storage for PC Computer, Laptop, MZ-V9E1T0B/AM, Black ",89.,https://www.amazon.com//Samsung-Internal-Computer-MZ-V9E1T0B-AM/dp/B0CRCC9863/ref=sr_1_10?dib=eyJ2IjoiMSJ9.SIWQXSYmzqTZLle1_Wbt6VEk7NT1kiPiP2oCc3RWQUYt5TmLypezXXYCkmL_nhtWuappLuglG8ZSDA_LE99Q7k4uKZyvaZEbm1u4gfEp_8D0JIoMqZ9CKExSOpeoTkhYYKNLKxvEx26QolLb3vZEIDcuuDH_mE0pYAGIT7h1ugIOoJfkA5FYNV9xuUP157Oxf8Zv7zfB9Q-MqcUMEuQ_Ie_tCzJpICDhbRRELKBkZxfXvQGVehkZNwwIeciNAB1RnpIHuURrD0Zv6UQHHIfQuMEdIdLLgyWn9kaT9Zdymes.ERdH3DVLTU1gVL8Olb5-0eEeI6Wq57q2zJ16qFIiCVQ&dib_tag=se&qid=1716310875&s=computers-intl-ship&sr=1-10,4.6,219
Electronics,DataStorage,"Samsung 870 EVO SATA III SSD 1TB 2.5” Internal Solid State Drive, Upgrade PC or Laptop Memory and Storage for IT Pros, Creators, Everyday Users, MZ-77E1T0B/AM ",99.,https://www.amazon.com//SAMSUNG-Inch-Internal-MZ-77E1T0B-AM/dp/B08QBJ2YMG/ref=sr_1_11?dib=eyJ2IjoiMSJ9.SIWQXSYmzqTZLle1_Wbt6VEk7NT1kiPiP2oCc3RWQUYt5TmLypezXXYCkmL_nhtWuappLuglG8ZSDA_LE99Q7k4uKZyvaZEbm1u4gfEp_8D0JIoMqZ9CKExSOpeoTkhYYKNLKxvEx26QolLb3vZEIDcuuDH_mE0pYAGIT7h1ugIOoJfkA5FYNV9xuUP157Oxf8Zv7zfB9Q-MqcUMEuQ_Ie_tCzJpICDhbRRELKBkZxfXvQGVehkZNwwIeciNAB1RnpIHuURrD0Zv6UQHHIfQuMEdIdLLgyWn9kaT9Zdymes.ERdH3DVLTU1gVL8Olb5-0eEeI6Wq57q2zJ16qFIiCVQ&dib_tag=se&qid=1716310875&s=computers-intl-ship&sr=1-11,4.8,"38,699"
Electronics,DataStorage,"WD_BLACK 2TB SN850X NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS200T2X0E ",139.,https://www.amazon.com//WD_BLACK-SN850X-Internal-Gaming-Solid/dp/B0B7CMZ3QH/ref=sr_1_12?dib=eyJ2IjoiMSJ9.SIWQXSYmzqTZLle1_Wbt6VEk7NT1kiPiP2oCc3RWQUYt5TmLypezXXYCkmL_nhtWuappLuglG8ZSDA_LE99Q7k4uKZyvaZEbm1u4gfEp_8D0JIoMqZ9CKExSOpeoTkhYYKNLKxvEx26QolLb3vZEIDcuuDH_mE0pYAGIT7h1ugIOoJfkA5FYNV9xuUP157Oxf8Zv7zfB9Q-MqcUMEuQ_Ie_tCzJpICDhbRRELKBkZxfXvQGVehkZNwwIeciNAB1RnpIHuURrD0Zv6UQHHIfQuMEdIdLLgyWn9kaT9Zdymes.ERdH3DVLTU1gVL8Olb5-0eEeI6Wq57q2zJ16qFIiCVQ&dib_tag=se&qid=1716310875&s=computers-intl-ship&sr=1-12,4.8,"17,986"
