MainCategory,SubCategory,Product Name,Price,Link,Rating,Review
Industrial & Scientific,Commercial Door Products,"Frost King AC43H Air Conditioner Weatherseal Tape, 2-1/4 Inch, 2-1/4"" W, 2-1/4"" T, 42"" L, Dark Gray ",4.,https://www.amazon.com//Frost-AC43H-Conditioner-Weatherseal-42-Inch/dp/B0000DH4JL/ref=sr_1_1?dib=eyJ2IjoiMSJ9.sVi76cfd3oUkKB0n-BSKtICUpQRkm3EeFEfzQkd_GuVnn6HbWEBiNX3-wVnv6o_63z5NVH22ZhyY-RQuwxmDk1eirnxdxHTirtzsVmfmWf2anHSOkrzrzeTEusVUfXSbtA_sB58pvEP6HVHl6LbwJyfpQ19W8j88s3azATp-7fXh4trDg83wu1DLkO7Elt7eJM6e1p1J45g7VUBI1zgPNAbfhND8A1P8-_poGF-FmgwAEOJ8nZCIu32l2b-KTBRBd1WqAOthUXTa1LeKE7nVJpjTZ2TfI536nWLlL70Zs9Q.JzF3MO0svLVxJ1V1Z_PA8zn2Dx5QhYCDSSUSHj0X_ds&dib_tag=se&qid=1716913501&s=industrial-intl-ship&sr=1-1,4.6,"1,988"
Industrial & Scientific,Commercial Door Products,"Master Lock 207D Magnetic Key Holder, 1-2 Key Capacity, Black ",3.,https://www.amazon.com//Master-Lock-207D-Magnetic-Holder/dp/B003WXGLS2/ref=sr_1_2?dib=eyJ2IjoiMSJ9.sVi76cfd3oUkKB0n-BSKtICUpQRkm3EeFEfzQkd_GuVnn6HbWEBiNX3-wVnv6o_63z5NVH22ZhyY-RQuwxmDk1eirnxdxHTirtzsVmfmWf2anHSOkrzrzeTEusVUfXSbtA_sB58pvEP6HVHl6LbwJyfpQ19W8j88s3azATp-7fXh4trDg83wu1DLkO7Elt7eJM6e1p1J45g7VUBI1zgPNAbfhND8A1P8-_poGF-FmgwAEOJ8nZCIu32l2b-KTBRBd1WqAOthUXTa1LeKE7nVJpjTZ2TfI536nWLlL70Zs9Q.JzF3MO0svLVxJ1V1Z_PA8zn2Dx5QhYCDSSUSHj0X_ds&dib_tag=se&qid=1716913501&s=industrial-intl-ship&sr=1-2,4.6,"10,684"
Industrial & Scientific,Commercial Door Products,M-D Building Products 43336 36 in. White Vinyl Cinch® U-Shape Slide-On Under Door Seal ,12.,https://www.amazon.com//M-D-BUILDING-PRODUCTS-MfrPartNo-43336/dp/B00P4QHJNG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.sVi76cfd3oUkKB0n-BSKtICUpQRkm3EeFEfzQkd_GuVnn6HbWEBiNX3-wVnv6o_63z5NVH22ZhyY-RQuwxmDk1eirnxdxHTirtzsVmfmWf2anHSOkrzrzeTEusVUfXSbtA_sB58pvEP6HVHl6LbwJyfpQ19W8j88s3azATp-7fXh4trDg83wu1DLkO7Elt7eJM6e1p1J45g7VUBI1zgPNAbfhND8A1P8-_poGF-FmgwAEOJ8nZCIu32l2b-KTBRBd1WqAOthUXTa1LeKE7nVJpjTZ2TfI536nWLlL70Zs9Q.JzF3MO0svLVxJ1V1Z_PA8zn2Dx5QhYCDSSUSHj0X_ds&dib_tag=se&qid=1716913501&s=industrial-intl-ship&sr=1-3,4.3,"2,494"
Industrial & Scientific,Commercial Door Products,"Scotch Door Stoppers, 2 Count, 1-1/8 in., Flexible Material Assures Snug Fit Under Door, Easy to Use Door Stops for Bottom of Door (SP947) ",4.,https://www.amazon.com//Scotch-Stoppers-Flexible-Material-Assures/dp/B08VM7NNXD/ref=sr_1_4?dib=eyJ2IjoiMSJ9.sVi76cfd3oUkKB0n-BSKtICUpQRkm3EeFEfzQkd_GuVnn6HbWEBiNX3-wVnv6o_63z5NVH22ZhyY-RQuwxmDk1eirnxdxHTirtzsVmfmWf2anHSOkrzrzeTEusVUfXSbtA_sB58pvEP6HVHl6LbwJyfpQ19W8j88s3azATp-7fXh4trDg83wu1DLkO7Elt7eJM6e1p1J45g7VUBI1zgPNAbfhND8A1P8-_poGF-FmgwAEOJ8nZCIu32l2b-KTBRBd1WqAOthUXTa1LeKE7nVJpjTZ2TfI536nWLlL70Zs9Q.JzF3MO0svLVxJ1V1Z_PA8zn2Dx5QhYCDSSUSHj0X_ds&dib_tag=se&qid=1716913501&s=industrial-intl-ship&sr=1-4,4.4,"20,398"
Industrial & Scientific,Commercial Door Products,"M-D Building Products 2006 M-D 0 Open-Cell Air Conditioner Weather-Strip, W X 42 in L X 1-1/4 in T, 1 1/4 Inch, Gray ",2.,https://www.amazon.com//M-D-Building-Products-2006-Weather-Strip/dp/B000CSGELY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.sVi76cfd3oUkKB0n-BSKtICUpQRkm3EeFEfzQkd_GuVnn6HbWEBiNX3-wVnv6o_63z5NVH22ZhyY-RQuwxmDk1eirnxdxHTirtzsVmfmWf2anHSOkrzrzeTEusVUfXSbtA_sB58pvEP6HVHl6LbwJyfpQ19W8j88s3azATp-7fXh4trDg83wu1DLkO7Elt7eJM6e1p1J45g7VUBI1zgPNAbfhND8A1P8-_poGF-FmgwAEOJ8nZCIu32l2b-KTBRBd1WqAOthUXTa1LeKE7nVJpjTZ2TfI536nWLlL70Zs9Q.JzF3MO0svLVxJ1V1Z_PA8zn2Dx5QhYCDSSUSHj0X_ds&dib_tag=se&qid=1716913501&s=industrial-intl-ship&sr=1-5,4.6,"1,566"
Industrial & Scientific,Commercial Door Products,Hillman Large Plastic Magnetic Key Case ,4.,https://www.amazon.com//Hillman-Large-Magnetic-Key-Case/dp/B005Q5JA9G/ref=sr_1_6?dib=eyJ2IjoiMSJ9.sVi76cfd3oUkKB0n-BSKtICUpQRkm3EeFEfzQkd_GuVnn6HbWEBiNX3-wVnv6o_63z5NVH22ZhyY-RQuwxmDk1eirnxdxHTirtzsVmfmWf2anHSOkrzrzeTEusVUfXSbtA_sB58pvEP6HVHl6LbwJyfpQ19W8j88s3azATp-7fXh4trDg83wu1DLkO7Elt7eJM6e1p1J45g7VUBI1zgPNAbfhND8A1P8-_poGF-FmgwAEOJ8nZCIu32l2b-KTBRBd1WqAOthUXTa1LeKE7nVJpjTZ2TfI536nWLlL70Zs9Q.JzF3MO0svLVxJ1V1Z_PA8zn2Dx5QhYCDSSUSHj0X_ds&dib_tag=se&qid=1716913501&s=industrial-intl-ship&sr=1-6,4.5,"3,059"
Industrial & Scientific,Commercial Door Products,M-D Building Products 43337 36 in. Brown Vinyl Cinch® U-Shape Slide-On Under Door Seal ,12.,https://www.amazon.com//M-D-Building-Products-43337-U-Shape/dp/B00PKSFEAI/ref=sr_1_7?dib=eyJ2IjoiMSJ9.sVi76cfd3oUkKB0n-BSKtICUpQRkm3EeFEfzQkd_GuVnn6HbWEBiNX3-wVnv6o_63z5NVH22ZhyY-RQuwxmDk1eirnxdxHTirtzsVmfmWf2anHSOkrzrzeTEusVUfXSbtA_sB58pvEP6HVHl6LbwJyfpQ19W8j88s3azATp-7fXh4trDg83wu1DLkO7Elt7eJM6e1p1J45g7VUBI1zgPNAbfhND8A1P8-_poGF-FmgwAEOJ8nZCIu32l2b-KTBRBd1WqAOthUXTa1LeKE7nVJpjTZ2TfI536nWLlL70Zs9Q.JzF3MO0svLVxJ1V1Z_PA8zn2Dx5QhYCDSSUSHj0X_ds&dib_tag=se&qid=1716913501&s=industrial-intl-ship&sr=1-7,4.3,"1,586"
Industrial & Scientific,Commercial Door Products,"Frost King R734H Sponge Rubber Foam Tape 3/4"" W X 7/16"" H X 10' L, Black ",4.,https://www.amazon.com//Frost-King-R734H-Sponge-Rubber/dp/B0000CBIFD/ref=sr_1_8?dib=eyJ2IjoiMSJ9.sVi76cfd3oUkKB0n-BSKtICUpQRkm3EeFEfzQkd_GuVnn6HbWEBiNX3-wVnv6o_63z5NVH22ZhyY-RQuwxmDk1eirnxdxHTirtzsVmfmWf2anHSOkrzrzeTEusVUfXSbtA_sB58pvEP6HVHl6LbwJyfpQ19W8j88s3azATp-7fXh4trDg83wu1DLkO7Elt7eJM6e1p1J45g7VUBI1zgPNAbfhND8A1P8-_poGF-FmgwAEOJ8nZCIu32l2b-KTBRBd1WqAOthUXTa1LeKE7nVJpjTZ2TfI536nWLlL70Zs9Q.JzF3MO0svLVxJ1V1Z_PA8zn2Dx5QhYCDSSUSHj0X_ds&dib_tag=se&qid=1716913501&s=industrial-intl-ship&sr=1-8,4.4,"9,589"
Industrial & Scientific,Commercial Door Products,SECURITYMAN 2-in-1 Door Security Bar & Sliding Door Security Bar - Door Jammer Constructed of High Grade Iron - Black Door Stoppers Security Bar ,19.,https://www.amazon.com//Securityman-Adjustable-Jammer-Sliding-Security/dp/B07H15GP7R/ref=sr_1_9?dib=eyJ2IjoiMSJ9.sVi76cfd3oUkKB0n-BSKtICUpQRkm3EeFEfzQkd_GuVnn6HbWEBiNX3-wVnv6o_63z5NVH22ZhyY-RQuwxmDk1eirnxdxHTirtzsVmfmWf2anHSOkrzrzeTEusVUfXSbtA_sB58pvEP6HVHl6LbwJyfpQ19W8j88s3azATp-7fXh4trDg83wu1DLkO7Elt7eJM6e1p1J45g7VUBI1zgPNAbfhND8A1P8-_poGF-FmgwAEOJ8nZCIu32l2b-KTBRBd1WqAOthUXTa1LeKE7nVJpjTZ2TfI536nWLlL70Zs9Q.JzF3MO0svLVxJ1V1Z_PA8zn2Dx5QhYCDSSUSHj0X_ds&dib_tag=se&qid=1716913501&s=industrial-intl-ship&sr=1-9,4.5,"22,304"
Industrial & Scientific,Commercial Door Products,"Household Essentials Garage Handle and Hinge Magnets – Decorative Magnetic Hardware Steel Doors, Easy Installation, Durable & Weatherproof, Set of 6 ",10.,https://www.amazon.com//Household-Essentials-240-Magnetic-Decorative/dp/B00QF6DFJQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.sVi76cfd3oUkKB0n-BSKtICUpQRkm3EeFEfzQkd_GuVnn6HbWEBiNX3-wVnv6o_63z5NVH22ZhyY-RQuwxmDk1eirnxdxHTirtzsVmfmWf2anHSOkrzrzeTEusVUfXSbtA_sB58pvEP6HVHl6LbwJyfpQ19W8j88s3azATp-7fXh4trDg83wu1DLkO7Elt7eJM6e1p1J45g7VUBI1zgPNAbfhND8A1P8-_poGF-FmgwAEOJ8nZCIu32l2b-KTBRBd1WqAOthUXTa1LeKE7nVJpjTZ2TfI536nWLlL70Zs9Q.JzF3MO0svLVxJ1V1Z_PA8zn2Dx5QhYCDSSUSHj0X_ds&dib_tag=se&qid=1716913501&s=industrial-intl-ship&sr=1-10,4.8,"27,728"
