MainCategory,SubCategory,Product Name,Price,Link,Rating,Review
Lugage,Carry-ons,"Travelpro Platinum Elite Softside Expandable Carry on Luggage, 8 Wheel Spinner Suitcase, USB Port, Suiter, Men and Women, True Navy Blue, Carry On 21-Inch ",365.,https://www.amazon.com//Travelpro-Platinum-Softside-Expandable-Spinner/dp/B07XSBGH1G/ref=sr_1_6?dib=eyJ2IjoiMSJ9.D8py_kx5GThK6-ONnDhP4HFeL6Gd9Ot4Cxo_5hg98AN2v1UWMyzFbilnAoqJiH-nVVbuxGa_ZHLMDDdckPSJfCs3TH9SxdYx3mrZOl7EBEsF47eDgfZFdr3K7W2NUGL7Wsh0gyOuTvhdHSqMWFIHigIpAOt73PdLCRB3tmRVeqww3Njw5oZtc1F_-UpDylNNMcZMqg2aU2wXK4t__rCLQzMSA86FWEDUGTFD1ujKOwYcn-6bu787NsGfbQapi43r7YyhWXGqCDhaoT6VK_uv906X7sA5_FGhBEno_Om6tR8.KrNwt3CZFSQAss7zjvPzJMMUwGu_VHQrE8p7Oj5DVCY&dib_tag=se&qid=1716860678&s=apparel&sr=1-6,4.6,"4,325"
Lugage,Carry-ons,"Travelpro Maxlite 5 Softside Expandable Carry on Luggage with 4 Spinner Wheels, Lightweight Suitcase, Men and Women, Black, Carry On 21-Inch ",144.,https://www.amazon.com//Travelpro-Luggage-Lightweight-Expandable-Suitcase/dp/B07BL7JXHV/ref=sr_1_7?dib=eyJ2IjoiMSJ9.D8py_kx5GThK6-ONnDhP4HFeL6Gd9Ot4Cxo_5hg98AN2v1UWMyzFbilnAoqJiH-nVVbuxGa_ZHLMDDdckPSJfCs3TH9SxdYx3mrZOl7EBEsF47eDgfZFdr3K7W2NUGL7Wsh0gyOuTvhdHSqMWFIHigIpAOt73PdLCRB3tmRVeqww3Njw5oZtc1F_-UpDylNNMcZMqg2aU2wXK4t__rCLQzMSA86FWEDUGTFD1ujKOwYcn-6bu787NsGfbQapi43r7YyhWXGqCDhaoT6VK_uv906X7sA5_FGhBEno_Om6tR8.KrNwt3CZFSQAss7zjvPzJMMUwGu_VHQrE8p7Oj5DVCY&dib_tag=se&qid=1716860678&s=apparel&sr=1-7,4.5,"11,939"
Lugage,Carry-ons,"Samsonite Omni PC Hardside Expandable Luggage with Spinner Wheels, Carry-On 20-Inch, Black ",99.,https://www.amazon.com//Samsonite-Hardside-Expandable-Luggage-Spinner/dp/B013WFNNZI/ref=sr_1_8?dib=eyJ2IjoiMSJ9.D8py_kx5GThK6-ONnDhP4HFeL6Gd9Ot4Cxo_5hg98AN2v1UWMyzFbilnAoqJiH-nVVbuxGa_ZHLMDDdckPSJfCs3TH9SxdYx3mrZOl7EBEsF47eDgfZFdr3K7W2NUGL7Wsh0gyOuTvhdHSqMWFIHigIpAOt73PdLCRB3tmRVeqww3Njw5oZtc1F_-UpDylNNMcZMqg2aU2wXK4t__rCLQzMSA86FWEDUGTFD1ujKOwYcn-6bu787NsGfbQapi43r7YyhWXGqCDhaoT6VK_uv906X7sA5_FGhBEno_Om6tR8.KrNwt3CZFSQAss7zjvPzJMMUwGu_VHQrE8p7Oj5DVCY&dib_tag=se&qid=1716860678&s=apparel&sr=1-8,4.5,"26,179"
Lugage,Carry-ons,"Amazon Basics 28-Inch Hardside Spinner, Black ",124.,https://www.amazon.com//AmazonBasics-Hardside-Spinner-Luggage-28-Inch/dp/B071HHX6VF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.D8py_kx5GThK6-ONnDhP4HFeL6Gd9Ot4Cxo_5hg98AN2v1UWMyzFbilnAoqJiH-nVVbuxGa_ZHLMDDdckPSJfCs3TH9SxdYx3mrZOl7EBEsF47eDgfZFdr3K7W2NUGL7Wsh0gyOuTvhdHSqMWFIHigIpAOt73PdLCRB3tmRVeqww3Njw5oZtc1F_-UpDylNNMcZMqg2aU2wXK4t__rCLQzMSA86FWEDUGTFD1ujKOwYcn-6bu787NsGfbQapi43r7YyhWXGqCDhaoT6VK_uv906X7sA5_FGhBEno_Om6tR8.KrNwt3CZFSQAss7zjvPzJMMUwGu_VHQrE8p7Oj5DVCY&dib_tag=se&qid=1716860678&s=apparel&sr=1-9,4.5,"47,047"
Lugage,Carry-ons,"Traveler's Choice Pagosa Indestructible Hardshell Expandable Spinner Luggage, Black, Carry-on ",72.,https://www.amazon.com//Travelers-Choice-Indestructible-Hardshell-Expandable/dp/B085B6M51S/ref=sr_1_10?dib=eyJ2IjoiMSJ9.D8py_kx5GThK6-ONnDhP4HFeL6Gd9Ot4Cxo_5hg98AN2v1UWMyzFbilnAoqJiH-nVVbuxGa_ZHLMDDdckPSJfCs3TH9SxdYx3mrZOl7EBEsF47eDgfZFdr3K7W2NUGL7Wsh0gyOuTvhdHSqMWFIHigIpAOt73PdLCRB3tmRVeqww3Njw5oZtc1F_-UpDylNNMcZMqg2aU2wXK4t__rCLQzMSA86FWEDUGTFD1ujKOwYcn-6bu787NsGfbQapi43r7YyhWXGqCDhaoT6VK_uv906X7sA5_FGhBEno_Om6tR8.KrNwt3CZFSQAss7zjvPzJMMUwGu_VHQrE8p7Oj5DVCY&dib_tag=se&qid=1716860678&s=apparel&sr=1-10,4.5,"3,396"
Lugage,Carry-ons,"Travelers Club Chicago Hardside Expandable Spinner Luggages, Rose Gold, 20"" Carry-On ",42.,https://www.amazon.com//Travelers-Club-Expandable-Hardside-Mobility/dp/B07KM2WKSK/ref=sr_1_11?dib=eyJ2IjoiMSJ9.D8py_kx5GThK6-ONnDhP4HFeL6Gd9Ot4Cxo_5hg98AN2v1UWMyzFbilnAoqJiH-nVVbuxGa_ZHLMDDdckPSJfCs3TH9SxdYx3mrZOl7EBEsF47eDgfZFdr3K7W2NUGL7Wsh0gyOuTvhdHSqMWFIHigIpAOt73PdLCRB3tmRVeqww3Njw5oZtc1F_-UpDylNNMcZMqg2aU2wXK4t__rCLQzMSA86FWEDUGTFD1ujKOwYcn-6bu787NsGfbQapi43r7YyhWXGqCDhaoT6VK_uv906X7sA5_FGhBEno_Om6tR8.KrNwt3CZFSQAss7zjvPzJMMUwGu_VHQrE8p7Oj5DVCY&dib_tag=se&qid=1716860678&s=apparel&sr=1-11,4.2,"31,624"
Lugage,Carry-ons,"Samsonite Centric Hardside Expandable Luggage with Spinner Wheels, Blue Slate, Checked-Large 28-Inch ",168.,https://www.amazon.com//Samsonite-Centric-Expandable-Hardside-Checked/dp/B074VLKTGY/ref=sr_1_12?dib=eyJ2IjoiMSJ9.D8py_kx5GThK6-ONnDhP4HFeL6Gd9Ot4Cxo_5hg98AN2v1UWMyzFbilnAoqJiH-nVVbuxGa_ZHLMDDdckPSJfCs3TH9SxdYx3mrZOl7EBEsF47eDgfZFdr3K7W2NUGL7Wsh0gyOuTvhdHSqMWFIHigIpAOt73PdLCRB3tmRVeqww3Njw5oZtc1F_-UpDylNNMcZMqg2aU2wXK4t__rCLQzMSA86FWEDUGTFD1ujKOwYcn-6bu787NsGfbQapi43r7YyhWXGqCDhaoT6VK_uv906X7sA5_FGhBEno_Om6tR8.KrNwt3CZFSQAss7zjvPzJMMUwGu_VHQrE8p7Oj5DVCY&dib_tag=se&qid=1716860678&s=apparel&sr=1-12,4.5,"6,473"
Lugage,Carry-ons,"LUGGEX Carry On Luggage 22x14x9 Airline Approved - 35L Polycarbonate Expandable Hard Shell Suitcase with Spinner Wheels (Black, 20 Inch) ",154.,https://www.amazon.com//LUGGEX-Expandable-Luggage-22x14x9-Approved/dp/B0BDFZT73G/ref=sr_1_13?dib=eyJ2IjoiMSJ9.D8py_kx5GThK6-ONnDhP4HFeL6Gd9Ot4Cxo_5hg98AN2v1UWMyzFbilnAoqJiH-nVVbuxGa_ZHLMDDdckPSJfCs3TH9SxdYx3mrZOl7EBEsF47eDgfZFdr3K7W2NUGL7Wsh0gyOuTvhdHSqMWFIHigIpAOt73PdLCRB3tmRVeqww3Njw5oZtc1F_-UpDylNNMcZMqg2aU2wXK4t__rCLQzMSA86FWEDUGTFD1ujKOwYcn-6bu787NsGfbQapi43r7YyhWXGqCDhaoT6VK_uv906X7sA5_FGhBEno_Om6tR8.KrNwt3CZFSQAss7zjvPzJMMUwGu_VHQrE8p7Oj5DVCY&dib_tag=se&qid=1716860678&s=apparel&sr=1-13,4.5,"1,176"
Lugage,Carry-ons,"Travelpro Crew Versapack Softside Expandable 8 Spinner Wheel Carry on Luggage, USB Port, Men and Women, Jet Black, Carry on 21-Inch ",202.,https://www.amazon.com//Travelpro-Versapack-Softside-Expandable-Spinner/dp/B07QW9LMRT/ref=sr_1_14?dib=eyJ2IjoiMSJ9.D8py_kx5GThK6-ONnDhP4HFeL6Gd9Ot4Cxo_5hg98AN2v1UWMyzFbilnAoqJiH-nVVbuxGa_ZHLMDDdckPSJfCs3TH9SxdYx3mrZOl7EBEsF47eDgfZFdr3K7W2NUGL7Wsh0gyOuTvhdHSqMWFIHigIpAOt73PdLCRB3tmRVeqww3Njw5oZtc1F_-UpDylNNMcZMqg2aU2wXK4t__rCLQzMSA86FWEDUGTFD1ujKOwYcn-6bu787NsGfbQapi43r7YyhWXGqCDhaoT6VK_uv906X7sA5_FGhBEno_Om6tR8.KrNwt3CZFSQAss7zjvPzJMMUwGu_VHQrE8p7Oj5DVCY&dib_tag=se&qid=1716860678&s=apparel&sr=1-14,4.6,"2,149"
Lugage,Carry-ons,"TPRC 15-Inch Smart Under Seat Carry-On Luggage with USB Charging Port, Telescoping Handles, Purple, Underseater ",48.,https://www.amazon.com//TPRC-15-Inch-Charging-Telescoping-Underseater/dp/B0762TC6XW/ref=sr_1_15?dib=eyJ2IjoiMSJ9.D8py_kx5GThK6-ONnDhP4HFeL6Gd9Ot4Cxo_5hg98AN2v1UWMyzFbilnAoqJiH-nVVbuxGa_ZHLMDDdckPSJfCs3TH9SxdYx3mrZOl7EBEsF47eDgfZFdr3K7W2NUGL7Wsh0gyOuTvhdHSqMWFIHigIpAOt73PdLCRB3tmRVeqww3Njw5oZtc1F_-UpDylNNMcZMqg2aU2wXK4t__rCLQzMSA86FWEDUGTFD1ujKOwYcn-6bu787NsGfbQapi43r7YyhWXGqCDhaoT6VK_uv906X7sA5_FGhBEno_Om6tR8.KrNwt3CZFSQAss7zjvPzJMMUwGu_VHQrE8p7Oj5DVCY&dib_tag=se&qid=1716860678&s=apparel&sr=1-15,4.6,"9,172"
