MainCategory,SubCategory,Product Name,Price,Link,Rating,Review
Pet Supplies,Dogs,"Amazon Basics Dog and Puppy Pee Pads with Leak-Proof Quick-Dry Design for Potty Training, Standard Absorbency, Regular Size, 22 x 22 Inches, Pack of 100, Blue & White ",22.,https://www.amazon.com//Amazon-Basics-Leak-Proof-Quick-Dry-Absorbency/dp/B00MW8G62E/ref=sr_1_5?dib=eyJ2IjoiMSJ9.S7Y3RPV3azUPUCZL1Rzar9rPvrG2skdT93OdkYw_yutrTpBmy77jfr27G3sPfwu6EtKUjWk9hBMwF-nALbRmDiCRqisSOeCpCj0DThcRQRIaGp6PxoLCZLgmTIRc-eDMZ4QIzoAJb86qP72PZhh5N9-MtgSjdakX7wgWJcTOLpy2Y68MUxqlF8-Mam_FiolfpvJYzPBMIj0Iy7x-PFth6dE8c-DBKZvlWhFDxDQznKkuHoUufU09lr1rqKlRTqhXz6zj-VnLuJLJpHrFrYWk2roLw-4mIJJWLwrAoKnFFiA.ph2MVQdEGyzTm73C0J8XwZkd9XTe19pj1b-btZpjxg8&dib_tag=se&qid=1716828193&s=pet-supplies&sr=1-5,4.5,"258,122"
Pet Supplies,Dogs,"All-Absorb A26 Male Dog Wrap, 50 Count, Small ",14.,https://www.amazon.com//All-Absorb-Male-Dog-Wrap-Count/dp/B07C22NTL4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.S7Y3RPV3azUPUCZL1Rzar9rPvrG2skdT93OdkYw_yutrTpBmy77jfr27G3sPfwu6EtKUjWk9hBMwF-nALbRmDiCRqisSOeCpCj0DThcRQRIaGp6PxoLCZLgmTIRc-eDMZ4QIzoAJb86qP72PZhh5N9-MtgSjdakX7wgWJcTOLpy2Y68MUxqlF8-Mam_FiolfpvJYzPBMIj0Iy7x-PFth6dE8c-DBKZvlWhFDxDQznKkuHoUufU09lr1rqKlRTqhXz6zj-VnLuJLJpHrFrYWk2roLw-4mIJJWLwrAoKnFFiA.ph2MVQdEGyzTm73C0J8XwZkd9XTe19pj1b-btZpjxg8&dib_tag=se&qid=1716828193&s=pet-supplies&sr=1-6,4.7,"23,695"
Pet Supplies,Dogs,"Multipet Plush Dog Toy, Lambchop, 10"" Regular, White, Large ",3.,https://www.amazon.com//Multipet-Plush-Dog-Toy-Lambchop/dp/B003XVYKVI/ref=sr_1_7?dib=eyJ2IjoiMSJ9.S7Y3RPV3azUPUCZL1Rzar9rPvrG2skdT93OdkYw_yutrTpBmy77jfr27G3sPfwu6EtKUjWk9hBMwF-nALbRmDiCRqisSOeCpCj0DThcRQRIaGp6PxoLCZLgmTIRc-eDMZ4QIzoAJb86qP72PZhh5N9-MtgSjdakX7wgWJcTOLpy2Y68MUxqlF8-Mam_FiolfpvJYzPBMIj0Iy7x-PFth6dE8c-DBKZvlWhFDxDQznKkuHoUufU09lr1rqKlRTqhXz6zj-VnLuJLJpHrFrYWk2roLw-4mIJJWLwrAoKnFFiA.ph2MVQdEGyzTm73C0J8XwZkd9XTe19pj1b-btZpjxg8&dib_tag=se&qid=1716828193&s=pet-supplies&sr=1-7,4.4,"76,111"
Pet Supplies,Dogs,"WYZE Cam Pan v3 Indoor/Outdoor IP65-Rated 1080p Pan/Tilt/Zoom Wi-Fi Smart Home Security Camera with Motion Tracking for Baby & Pet, Color Night Vision, 2-Way Audio, Works with Alexa & Google Assistant ",29.,https://www.amazon.com//WYZE-IP65-Rated-Security-Compatible-Assistant/dp/B0B9TWY11Q/ref=sr_1_8?dib=eyJ2IjoiMSJ9.S7Y3RPV3azUPUCZL1Rzar9rPvrG2skdT93OdkYw_yutrTpBmy77jfr27G3sPfwu6EtKUjWk9hBMwF-nALbRmDiCRqisSOeCpCj0DThcRQRIaGp6PxoLCZLgmTIRc-eDMZ4QIzoAJb86qP72PZhh5N9-MtgSjdakX7wgWJcTOLpy2Y68MUxqlF8-Mam_FiolfpvJYzPBMIj0Iy7x-PFth6dE8c-DBKZvlWhFDxDQznKkuHoUufU09lr1rqKlRTqhXz6zj-VnLuJLJpHrFrYWk2roLw-4mIJJWLwrAoKnFFiA.ph2MVQdEGyzTm73C0J8XwZkd9XTe19pj1b-btZpjxg8&dib_tag=se&qid=1716828193&s=pet-supplies&sr=1-8,4.3,"11,839"
Pet Supplies,Dogs,"Best Pet Supplies Crinkle Dog Toy for Small, Medium, and Large Breeds, Cute No Stuffing Duck with Soft Squeaker, Fun for Indoor Puppies and Senior Pups, Plush No Mess Chew and Play, Large, Yellow ",5.,https://www.amazon.com//Best-Pet-Supplies-Stuffing-Squeaker/dp/B09BBM5CX8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.S7Y3RPV3azUPUCZL1Rzar9rPvrG2skdT93OdkYw_yutrTpBmy77jfr27G3sPfwu6EtKUjWk9hBMwF-nALbRmDiCRqisSOeCpCj0DThcRQRIaGp6PxoLCZLgmTIRc-eDMZ4QIzoAJb86qP72PZhh5N9-MtgSjdakX7wgWJcTOLpy2Y68MUxqlF8-Mam_FiolfpvJYzPBMIj0Iy7x-PFth6dE8c-DBKZvlWhFDxDQznKkuHoUufU09lr1rqKlRTqhXz6zj-VnLuJLJpHrFrYWk2roLw-4mIJJWLwrAoKnFFiA.ph2MVQdEGyzTm73C0J8XwZkd9XTe19pj1b-btZpjxg8&dib_tag=se&qid=1716828193&s=pet-supplies&sr=1-9,4.4,"24,841"
Pet Supplies,Dogs,"Wahl USA Dry Skin & Itch Relief Pet Shampoo for Dogs – Oatmeal Formula with Coconut Lime Verbena & Pet Friendly Formula, 24 Oz - Model 820004A ",8.,https://www.amazon.com//Wahl-Dog-Pet-Shampoo-Oatmeal/dp/B005CUTWDE/ref=sr_1_10?dib=eyJ2IjoiMSJ9.S7Y3RPV3azUPUCZL1Rzar9rPvrG2skdT93OdkYw_yutrTpBmy77jfr27G3sPfwu6EtKUjWk9hBMwF-nALbRmDiCRqisSOeCpCj0DThcRQRIaGp6PxoLCZLgmTIRc-eDMZ4QIzoAJb86qP72PZhh5N9-MtgSjdakX7wgWJcTOLpy2Y68MUxqlF8-Mam_FiolfpvJYzPBMIj0Iy7x-PFth6dE8c-DBKZvlWhFDxDQznKkuHoUufU09lr1rqKlRTqhXz6zj-VnLuJLJpHrFrYWk2roLw-4mIJJWLwrAoKnFFiA.ph2MVQdEGyzTm73C0J8XwZkd9XTe19pj1b-btZpjxg8&dib_tag=se&qid=1716828193&s=pet-supplies&sr=1-10,4.7,"33,232"
Pet Supplies,Dogs,"Virbac CET Enzymatic Toothpaste| Eliminates Bad Breath by Removing Plaque & Tartar Buildup | Best Pet Dental Care Toothpaste | Poultry Flavor, 2.5 oz tube ",11.,https://www.amazon.com//Virbac-Control-Enzymatic-Toothpaste-Poultry/dp/B00RZDXA7K/ref=sr_1_11?dib=eyJ2IjoiMSJ9.S7Y3RPV3azUPUCZL1Rzar9rPvrG2skdT93OdkYw_yutrTpBmy77jfr27G3sPfwu6EtKUjWk9hBMwF-nALbRmDiCRqisSOeCpCj0DThcRQRIaGp6PxoLCZLgmTIRc-eDMZ4QIzoAJb86qP72PZhh5N9-MtgSjdakX7wgWJcTOLpy2Y68MUxqlF8-Mam_FiolfpvJYzPBMIj0Iy7x-PFth6dE8c-DBKZvlWhFDxDQznKkuHoUufU09lr1rqKlRTqhXz6zj-VnLuJLJpHrFrYWk2roLw-4mIJJWLwrAoKnFFiA.ph2MVQdEGyzTm73C0J8XwZkd9XTe19pj1b-btZpjxg8&dib_tag=se&qid=1716828193&s=pet-supplies&sr=1-11,4.6,"26,157"
Pet Supplies,Dogs,"ChuckIt! Paraflight Flying Disc Dog Toy, Large (9.75""), Orange And Blue ",4.,https://www.amazon.com//Chuckit-Paraflight-Frisbee-Distance-Orange/dp/B008ESY894/ref=sr_1_12?dib=eyJ2IjoiMSJ9.S7Y3RPV3azUPUCZL1Rzar9rPvrG2skdT93OdkYw_yutrTpBmy77jfr27G3sPfwu6EtKUjWk9hBMwF-nALbRmDiCRqisSOeCpCj0DThcRQRIaGp6PxoLCZLgmTIRc-eDMZ4QIzoAJb86qP72PZhh5N9-MtgSjdakX7wgWJcTOLpy2Y68MUxqlF8-Mam_FiolfpvJYzPBMIj0Iy7x-PFth6dE8c-DBKZvlWhFDxDQznKkuHoUufU09lr1rqKlRTqhXz6zj-VnLuJLJpHrFrYWk2roLw-4mIJJWLwrAoKnFFiA.ph2MVQdEGyzTm73C0J8XwZkd9XTe19pj1b-btZpjxg8&dib_tag=se&qid=1716828193&s=pet-supplies&sr=1-12,4.4,"20,965"
Pet Supplies,Dogs,"Wahl USA 4-in-1 Calming Pet Shampoo for Dogs – Cleans, Conditions, Detangles, & Moisturizes with Lavender Chamomile - Pet Friendly Formula - 24 Oz - Model 820000A ",8.,https://www.amazon.com//Wahl-Lavendar-Chamomile-Shampoo-Conditioner/dp/B005CUTW8O/ref=sr_1_16?dib=eyJ2IjoiMSJ9.S7Y3RPV3azUPUCZL1Rzar9rPvrG2skdT93OdkYw_yutrTpBmy77jfr27G3sPfwu6EtKUjWk9hBMwF-nALbRmDiCRqisSOeCpCj0DThcRQRIaGp6PxoLCZLgmTIRc-eDMZ4QIzoAJb86qP72PZhh5N9-MtgSjdakX7wgWJcTOLpy2Y68MUxqlF8-Mam_FiolfpvJYzPBMIj0Iy7x-PFth6dE8c-DBKZvlWhFDxDQznKkuHoUufU09lr1rqKlRTqhXz6zj-VnLuJLJpHrFrYWk2roLw-4mIJJWLwrAoKnFFiA.ph2MVQdEGyzTm73C0J8XwZkd9XTe19pj1b-btZpjxg8&dib_tag=se&qid=1716828193&s=pet-supplies&sr=1-16,4.7,"26,806"
Pet Supplies,Dogs,"Veken 95oz/2.8L Pet Fountain, Automatic Cat Water Fountain Dog Water Dispenser with Replacement Filters for Cats, Dogs, Multiple Pets (Grey, Plastic) ",19.,https://www.amazon.com//Veken-Fountain-Automatic-Dispenser-Replacement/dp/B08NCDBT7Q/ref=sr_1_17?dib=eyJ2IjoiMSJ9.S7Y3RPV3azUPUCZL1Rzar9rPvrG2skdT93OdkYw_yutrTpBmy77jfr27G3sPfwu6EtKUjWk9hBMwF-nALbRmDiCRqisSOeCpCj0DThcRQRIaGp6PxoLCZLgmTIRc-eDMZ4QIzoAJb86qP72PZhh5N9-MtgSjdakX7wgWJcTOLpy2Y68MUxqlF8-Mam_FiolfpvJYzPBMIj0Iy7x-PFth6dE8c-DBKZvlWhFDxDQznKkuHoUufU09lr1rqKlRTqhXz6zj-VnLuJLJpHrFrYWk2roLw-4mIJJWLwrAoKnFFiA.ph2MVQdEGyzTm73C0J8XwZkd9XTe19pj1b-btZpjxg8&dib_tag=se&qid=1716828193&s=pet-supplies&sr=1-17,4.3,"34,643"
