MainCategory,SubCategory,Product Name,Price,Link,Rating,Review
Software,Business & Office,,,,,
Software,Business & Office,SAGE 50 PREMIUM ACCOUNTING 2024 U.S. 1-USER 1-YEAR SUBSCRIPTION ,559.,https://www.amazon.com//sspa/click?ie=UTF8&spc=MToxOTc1MDc2OTA5MTEwNzI6MTcxNjkxMTg0NTpzcF9hdGZfYnJvd3NlOjMwMDEyMDg1Mzc0MTMwMjo6MDo6&url=%2FPREMIUM-ACCOUNTING-1-USER-1-YEAR-SUBSCRIPTION%2Fdp%2FB0CH3KQSBG%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.hW1miG0KyimYmmSxn714CnQ_8NRg9VPYTcQm7PmWPWLkwSTx8fbiUM-kMYr_LJOgwIiQkM1frJu-MeMvr0I2UGGeQVyy8UN3Fu9A6GbVc-ydtbKrWWWnbTHQVhDF-lAg0pEgBf1Rs9P2Tr9oRQKKBiy8XgumqYVMwaGE6mC1c7Iuwyc4HIv9tkyOyVxaW_GUkaMHsKi-twmrFJDPrr2GThdE34acyCuTN1oFIKBw-Dc.Nm1qqt0ipYBPzhiG9vjmFJpeRAsU_zTI7JtIV2RAf6c%26dib_tag%3Dse%26qid%3D1716911845%26s%3Dsoftware-intl-ship%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,4.0,2
Software,Business & Office,"Corel WordPerfect Office Home & Student 2021 | Office Suite of Word Processor, Spreadsheets & Presentation Software [PC Disc] ",59.,https://www.amazon.com//Corel-WordPerfect-Processor-Spreadsheets-Presentation/dp/B091KJH72X/ref=sr_1_2?dib=eyJ2IjoiMSJ9.hW1miG0KyimYmmSxn714CnQ_8NRg9VPYTcQm7PmWPWLkwSTx8fbiUM-kMYr_LJOgwIiQkM1frJu-MeMvr0I2UGGeQVyy8UN3Fu9A6GbVc-ydtbKrWWWnbTHQVhDF-lAg0pEgBf1Rs9P2Tr9oRQKKBiy8XgumqYVMwaGE6mC1c7Iuwyc4HIv9tkyOyVxaW_GUkaMHsKi-twmrFJDPrr2GThdE34acyCuTN1oFIKBw-Dc.Nm1qqt0ipYBPzhiG9vjmFJpeRAsU_zTI7JtIV2RAf6c&dib_tag=se&qid=1716911845&s=software-intl-ship&sr=1-2,4.2,963
Software,Business & Office,MyInvoices & Estimates Deluxe ,31.,https://www.amazon.com//Avanquest-10061-MyInvoices-Estimates-Deluxe/dp/B00269D9LU/ref=sr_1_3?dib=eyJ2IjoiMSJ9.hW1miG0KyimYmmSxn714CnQ_8NRg9VPYTcQm7PmWPWLkwSTx8fbiUM-kMYr_LJOgwIiQkM1frJu-MeMvr0I2UGGeQVyy8UN3Fu9A6GbVc-ydtbKrWWWnbTHQVhDF-lAg0pEgBf1Rs9P2Tr9oRQKKBiy8XgumqYVMwaGE6mC1c7Iuwyc4HIv9tkyOyVxaW_GUkaMHsKi-twmrFJDPrr2GThdE34acyCuTN1oFIKBw-Dc.Nm1qqt0ipYBPzhiG9vjmFJpeRAsU_zTI7JtIV2RAf6c&dib_tag=se&qid=1716911845&s=software-intl-ship&sr=1-3,4.0,384
Software,Business & Office,MyAttorney Home & Business ,39.,https://www.amazon.com//Avanquest-3732-0-MyAttorney-Home-Business/dp/B000I0DBH6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.hW1miG0KyimYmmSxn714CnQ_8NRg9VPYTcQm7PmWPWLkwSTx8fbiUM-kMYr_LJOgwIiQkM1frJu-MeMvr0I2UGGeQVyy8UN3Fu9A6GbVc-ydtbKrWWWnbTHQVhDF-lAg0pEgBf1Rs9P2Tr9oRQKKBiy8XgumqYVMwaGE6mC1c7Iuwyc4HIv9tkyOyVxaW_GUkaMHsKi-twmrFJDPrr2GThdE34acyCuTN1oFIKBw-Dc.Nm1qqt0ipYBPzhiG9vjmFJpeRAsU_zTI7JtIV2RAf6c&dib_tag=se&qid=1716911845&s=software-intl-ship&sr=1-4,4.3,707
Software,Business & Office,SAGE 50 PREMIUM ACCOUNTING 2024 U.S. 1-USER 1-YEAR SUBSCRIPTION ,559.,https://www.amazon.com//PREMIUM-ACCOUNTING-1-USER-1-YEAR-SUBSCRIPTION/dp/B0CH3KQSBG/ref=sr_1_5?dib=eyJ2IjoiMSJ9.hW1miG0KyimYmmSxn714CnQ_8NRg9VPYTcQm7PmWPWLkwSTx8fbiUM-kMYr_LJOgwIiQkM1frJu-MeMvr0I2UGGeQVyy8UN3Fu9A6GbVc-ydtbKrWWWnbTHQVhDF-lAg0pEgBf1Rs9P2Tr9oRQKKBiy8XgumqYVMwaGE6mC1c7Iuwyc4HIv9tkyOyVxaW_GUkaMHsKi-twmrFJDPrr2GThdE34acyCuTN1oFIKBw-Dc.Nm1qqt0ipYBPzhiG9vjmFJpeRAsU_zTI7JtIV2RAf6c&dib_tag=se&qid=1716911845&s=software-intl-ship&sr=1-5,4.0,2
Software,Business & Office,SAGE 50 PRO ACCOUNTING 2024 U.S. 1-USER 1-YEAR SUBSCRIPTION ,329.,https://www.amazon.com//SAGE-ACCOUNTING-1-USER-1-YEAR-SUBSCRIPTION/dp/B0CH3R9TVY/ref=sr_1_6?dib=eyJ2IjoiMSJ9.hW1miG0KyimYmmSxn714CnQ_8NRg9VPYTcQm7PmWPWLkwSTx8fbiUM-kMYr_LJOgwIiQkM1frJu-MeMvr0I2UGGeQVyy8UN3Fu9A6GbVc-ydtbKrWWWnbTHQVhDF-lAg0pEgBf1Rs9P2Tr9oRQKKBiy8XgumqYVMwaGE6mC1c7Iuwyc4HIv9tkyOyVxaW_GUkaMHsKi-twmrFJDPrr2GThdE34acyCuTN1oFIKBw-Dc.Nm1qqt0ipYBPzhiG9vjmFJpeRAsU_zTI7JtIV2RAf6c&dib_tag=se&qid=1716911845&s=software-intl-ship&sr=1-6,,
Software,Business & Office,SAGE 50 PRO ACCOUNTING 2024 U.S. 1-USER 1-YEAR SUBSCRIPTION ,329.,https://www.amazon.com//sspa/click?ie=UTF8&spc=MToxOTc1MDc2OTA5MTEwNzI6MTcxNjkxMTg0NTpzcF9tdGZfYnJvd3NlOjMwMDEyMDI1MTQ0NzUwMjo6MDo6&url=%2FSAGE-ACCOUNTING-1-USER-1-YEAR-SUBSCRIPTION%2Fdp%2FB0CH3R9TVY%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.hW1miG0KyimYmmSxn714CnQ_8NRg9VPYTcQm7PmWPWLkwSTx8fbiUM-kMYr_LJOgwIiQkM1frJu-MeMvr0I2UGGeQVyy8UN3Fu9A6GbVc-ydtbKrWWWnbTHQVhDF-lAg0pEgBf1Rs9P2Tr9oRQKKBiy8XgumqYVMwaGE6mC1c7Iuwyc4HIv9tkyOyVxaW_GUkaMHsKi-twmrFJDPrr2GThdE34acyCuTN1oFIKBw-Dc.Nm1qqt0ipYBPzhiG9vjmFJpeRAsU_zTI7JtIV2RAf6c%26dib_tag%3Dse%26qid%3D1716911845%26s%3Dsoftware-intl-ship%26sr%3D1-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,,
Software,Business & Office,"AnyTime Organizer Deluxe 16 - Organize Your Calendar, To-Do’s and Contacts! ",39.,https://www.amazon.com//Individual-Software-PVM-A16-AnyTime-Organizer/dp/B07DX1JBT2/ref=sr_1_8?dib=eyJ2IjoiMSJ9.hW1miG0KyimYmmSxn714CnQ_8NRg9VPYTcQm7PmWPWLkwSTx8fbiUM-kMYr_LJOgwIiQkM1frJu-MeMvr0I2UGGeQVyy8UN3Fu9A6GbVc-ydtbKrWWWnbTHQVhDF-lAg0pEgBf1Rs9P2Tr9oRQKKBiy8XgumqYVMwaGE6mC1c7Iuwyc4HIv9tkyOyVxaW_GUkaMHsKi-twmrFJDPrr2GThdE34acyCuTN1oFIKBw-Dc.Nm1qqt0ipYBPzhiG9vjmFJpeRAsU_zTI7JtIV2RAf6c&dib_tag=se&qid=1716911845&s=software-intl-ship&sr=1-8,4.3,172
Software,Business & Office,Parallels Desktop 19 for Mac Pro Edition | Run Windows on Mac Virtual Machine Software | Authorized by Microsoft | 1 Year Subscription [Mac Key Card] ,95.,https://www.amazon.com//Parallels-Desktop-Windows-Software-Subscription/dp/B09BT33SC2/ref=sr_1_9?dib=eyJ2IjoiMSJ9.hW1miG0KyimYmmSxn714CnQ_8NRg9VPYTcQm7PmWPWLkwSTx8fbiUM-kMYr_LJOgwIiQkM1frJu-MeMvr0I2UGGeQVyy8UN3Fu9A6GbVc-ydtbKrWWWnbTHQVhDF-lAg0pEgBf1Rs9P2Tr9oRQKKBiy8XgumqYVMwaGE6mC1c7Iuwyc4HIv9tkyOyVxaW_GUkaMHsKi-twmrFJDPrr2GThdE34acyCuTN1oFIKBw-Dc.Nm1qqt0ipYBPzhiG9vjmFJpeRAsU_zTI7JtIV2RAf6c&dib_tag=se&qid=1716911845&s=software-intl-ship&sr=1-9,3.6,18
