MainCategory,SubCategory,Product Name,Price,Link,Rating,Review
Software,Education & Reference,MyAttorney Home & Business ,39.,https://www.amazon.com//Avanquest-3732-0-MyAttorney-Home-Business/dp/B000I0DBH6/ref=sr_1_1?dib=eyJ2IjoiMSJ9.rEZUnQZBB3J0kAEoMtgNAN-dDrk2Gj8hb1ecPPFp6yH7oAIdEDlhUI81Z5e5RVH_7t2rtSqdQi2oxZQJ-A-BCrlhAnvxgMbiB1_kjJhnXGCZK9zlRTqldrOJBQ0dq7vEONAFk-YidaKnuXidNRkn0qiHkWDYkYWDCtfALR4MyXdvGaMcGMTx4EHgjBmvMNIlSDEBEmPcMq99JB4GSs4FElMXdXsm9fKBGP86I1Kj5e8.SYrPfkViyr9fQiyIYr2ehUEkQN7qlWrde2rBmNvPZxg&dib_tag=se&qid=1717063502&s=software-intl-ship&sr=1-1,4.3,707
Software,Education & Reference,On Hand Legends of Dark Souls ,9.,https://www.amazon.com//Hand-Legends-Dark-Souls/dp/B01LAXDG6K/ref=sr_1_2?dib=eyJ2IjoiMSJ9.rEZUnQZBB3J0kAEoMtgNAN-dDrk2Gj8hb1ecPPFp6yH7oAIdEDlhUI81Z5e5RVH_7t2rtSqdQi2oxZQJ-A-BCrlhAnvxgMbiB1_kjJhnXGCZK9zlRTqldrOJBQ0dq7vEONAFk-YidaKnuXidNRkn0qiHkWDYkYWDCtfALR4MyXdvGaMcGMTx4EHgjBmvMNIlSDEBEmPcMq99JB4GSs4FElMXdXsm9fKBGP86I1Kj5e8.SYrPfkViyr9fQiyIYr2ehUEkQN7qlWrde2rBmNvPZxg&dib_tag=se&qid=1717063502&s=software-intl-ship&sr=1-2,4.0,69
Software,Education & Reference,On Hand LEGENDS OF A MEMORY ,12.,https://www.amazon.com//Hand-OH-5501-LEGENDS-MEMORY/dp/B01LAXDG06/ref=sr_1_3?dib=eyJ2IjoiMSJ9.rEZUnQZBB3J0kAEoMtgNAN-dDrk2Gj8hb1ecPPFp6yH7oAIdEDlhUI81Z5e5RVH_7t2rtSqdQi2oxZQJ-A-BCrlhAnvxgMbiB1_kjJhnXGCZK9zlRTqldrOJBQ0dq7vEONAFk-YidaKnuXidNRkn0qiHkWDYkYWDCtfALR4MyXdvGaMcGMTx4EHgjBmvMNIlSDEBEmPcMq99JB4GSs4FElMXdXsm9fKBGP86I1Kj5e8.SYrPfkViyr9fQiyIYr2ehUEkQN7qlWrde2rBmNvPZxg&dib_tag=se&qid=1717063502&s=software-intl-ship&sr=1-3,4.0,20
Software,Education & Reference,Youth Digital 3D Character Animation 1 ,25.,https://www.amazon.com//Youth-Digital-3D-Character-Animation/dp/B0184HV8ZG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.rEZUnQZBB3J0kAEoMtgNAN-dDrk2Gj8hb1ecPPFp6yH7oAIdEDlhUI81Z5e5RVH_7t2rtSqdQi2oxZQJ-A-BCrlhAnvxgMbiB1_kjJhnXGCZK9zlRTqldrOJBQ0dq7vEONAFk-YidaKnuXidNRkn0qiHkWDYkYWDCtfALR4MyXdvGaMcGMTx4EHgjBmvMNIlSDEBEmPcMq99JB4GSs4FElMXdXsm9fKBGP86I1Kj5e8.SYrPfkViyr9fQiyIYr2ehUEkQN7qlWrde2rBmNvPZxg&dib_tag=se&qid=1717063502&s=software-intl-ship&sr=1-4,2.4,3
Software,Education & Reference,Commercial Driver's License (CDL) Manual 2012 by Aplusb ,34.,https://www.amazon.com//Commercial-Drivers-CDL-2012-Aplusb/dp/B0062SJHKI/ref=sr_1_5?dib=eyJ2IjoiMSJ9.rEZUnQZBB3J0kAEoMtgNAN-dDrk2Gj8hb1ecPPFp6yH7oAIdEDlhUI81Z5e5RVH_7t2rtSqdQi2oxZQJ-A-BCrlhAnvxgMbiB1_kjJhnXGCZK9zlRTqldrOJBQ0dq7vEONAFk-YidaKnuXidNRkn0qiHkWDYkYWDCtfALR4MyXdvGaMcGMTx4EHgjBmvMNIlSDEBEmPcMq99JB4GSs4FElMXdXsm9fKBGP86I1Kj5e8.SYrPfkViyr9fQiyIYr2ehUEkQN7qlWrde2rBmNvPZxg&dib_tag=se&qid=1717063502&s=software-intl-ship&sr=1-5,3.4,7
Software,Education & Reference,Increasing Breastfeeding Success with PowerPoint Education CDs ,7.,https://www.amazon.com//Increasing-Breastfeeding-Success-PowerPoint-Education/dp/B005EM7FGQ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.rEZUnQZBB3J0kAEoMtgNAN-dDrk2Gj8hb1ecPPFp6yH7oAIdEDlhUI81Z5e5RVH_7t2rtSqdQi2oxZQJ-A-BCrlhAnvxgMbiB1_kjJhnXGCZK9zlRTqldrOJBQ0dq7vEONAFk-YidaKnuXidNRkn0qiHkWDYkYWDCtfALR4MyXdvGaMcGMTx4EHgjBmvMNIlSDEBEmPcMq99JB4GSs4FElMXdXsm9fKBGP86I1Kj5e8.SYrPfkViyr9fQiyIYr2ehUEkQN7qlWrde2rBmNvPZxg&dib_tag=se&qid=1717063502&s=software-intl-ship&sr=1-6,,
Software,Education & Reference,Ten Ton Dreamweaver Essentials ,100.,https://www.amazon.com//Ten-Ton-Books-9001-Dreamweaver/dp/B003VW4JRY/ref=sr_1_7?dib=eyJ2IjoiMSJ9.rEZUnQZBB3J0kAEoMtgNAN-dDrk2Gj8hb1ecPPFp6yH7oAIdEDlhUI81Z5e5RVH_7t2rtSqdQi2oxZQJ-A-BCrlhAnvxgMbiB1_kjJhnXGCZK9zlRTqldrOJBQ0dq7vEONAFk-YidaKnuXidNRkn0qiHkWDYkYWDCtfALR4MyXdvGaMcGMTx4EHgjBmvMNIlSDEBEmPcMq99JB4GSs4FElMXdXsm9fKBGP86I1Kj5e8.SYrPfkViyr9fQiyIYr2ehUEkQN7qlWrde2rBmNvPZxg&dib_tag=se&qid=1717063502&s=software-intl-ship&sr=1-7,,
Software,Education & Reference,Mediashop RingPlus 2.0 Jewel Case ,4.,https://www.amazon.com//Mediashop-RingPlus-2-0-Jewel-Case/dp/B003NR897I/ref=sr_1_8?dib=eyJ2IjoiMSJ9.rEZUnQZBB3J0kAEoMtgNAN-dDrk2Gj8hb1ecPPFp6yH7oAIdEDlhUI81Z5e5RVH_7t2rtSqdQi2oxZQJ-A-BCrlhAnvxgMbiB1_kjJhnXGCZK9zlRTqldrOJBQ0dq7vEONAFk-YidaKnuXidNRkn0qiHkWDYkYWDCtfALR4MyXdvGaMcGMTx4EHgjBmvMNIlSDEBEmPcMq99JB4GSs4FElMXdXsm9fKBGP86I1Kj5e8.SYrPfkViyr9fQiyIYr2ehUEkQN7qlWrde2rBmNvPZxg&dib_tag=se&qid=1717063502&s=software-intl-ship&sr=1-8,5.0,1
Software,Education & Reference,Easy Cooking: Greek ,9.,https://www.amazon.com//Teaching-Ink-Inc-Consignment-LXEACOGREJ/dp/B001VZP7ZQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.rEZUnQZBB3J0kAEoMtgNAN-dDrk2Gj8hb1ecPPFp6yH7oAIdEDlhUI81Z5e5RVH_7t2rtSqdQi2oxZQJ-A-BCrlhAnvxgMbiB1_kjJhnXGCZK9zlRTqldrOJBQ0dq7vEONAFk-YidaKnuXidNRkn0qiHkWDYkYWDCtfALR4MyXdvGaMcGMTx4EHgjBmvMNIlSDEBEmPcMq99JB4GSs4FElMXdXsm9fKBGP86I1Kj5e8.SYrPfkViyr9fQiyIYr2ehUEkQN7qlWrde2rBmNvPZxg&dib_tag=se&qid=1717063502&s=software-intl-ship&sr=1-9,,
Software,Education & Reference,Tell Me More Spanish Performance Version 9 (2 Levels) [OLD VERSION] ,205.,https://www.amazon.com//Spanish-Performance-Version-Levels-VERSION/dp/B001GN6YUK/ref=sr_1_10?dib=eyJ2IjoiMSJ9.rEZUnQZBB3J0kAEoMtgNAN-dDrk2Gj8hb1ecPPFp6yH7oAIdEDlhUI81Z5e5RVH_7t2rtSqdQi2oxZQJ-A-BCrlhAnvxgMbiB1_kjJhnXGCZK9zlRTqldrOJBQ0dq7vEONAFk-YidaKnuXidNRkn0qiHkWDYkYWDCtfALR4MyXdvGaMcGMTx4EHgjBmvMNIlSDEBEmPcMq99JB4GSs4FElMXdXsm9fKBGP86I1Kj5e8.SYrPfkViyr9fQiyIYr2ehUEkQN7qlWrde2rBmNvPZxg&dib_tag=se&qid=1717063502&s=software-intl-ship&sr=1-10,1.5,2
