Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
11.5 x 9 x 0.01 inches,B079KL4C91,"July 31, 2018",89201P,None,#8 in Office Products (See Top 100 in Office Products)  #1 in Office Laminating Supplies,Clear,89201P,0.4 ounces,$20.78,$45.38,$0.00,15
11 x 8.5 x 1 inches,B073XR4X72,"July 21, 2017",No,USA,#35 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #1 in Picture Hanging Hardware,White,PH206-14NA,1.49 ounces,$12.58,$26.93,$18.39,15
6 x 6 x 6.13 inches,B089T7PX27,None,Crayola,USA,"#18 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #1 in Pottery & Modeling Clays",White,57-0017,5 pounds,$10.96,$48.37,$7.68,15
0.75 x 8.9 x 11.4 inches,B007VBXB48,"April 10, 2012",TP3854-100,None,#39 in Office Products (See Top 100 in Office Products)  #2 in Office Laminating Supplies,Clear,TP3854-100,3.06 pounds,$15.98,$38.36,$0.00,15
11 x 8.5 x 2 inches,B07D4YF3K4,"May 17, 2018",91437,None,#69 in Office Products (See Top 100 in Office Products)  #3 in Office Laminating Supplies,white,91437,6 pounds,$20.87,$50.09,$31.57,15
11 x 8.85 x 0.67 inches,B003A2I5T8,"February 5, 2010",90905-02,None,"#26 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #1 in Card Stock",White,90905-02,1.4 pounds,$6.99,$32.17,$0.00,15
"8.25""L x 3""W",B002YIP97K,None,No,China,"#30 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #3 in Craft Scissors  #3 in Office Cutting Tools",Gray,116000-1005,3.2 ounces,$6.48,$26.03,$0.00,15
1.3 x 8.5 x 11 inches,B00CBAWIIY,"October 17, 2017",TP3854-200,None,#73 in Office Products (See Top 100 in Office Products)  #4 in Office Laminating Supplies,Clear,TP3854-200,1 pounds,$27.99,$50.05,$0.00,15
11 x 8.4 x 2.2 inches,B00006IDRW,"January 31, 2007",91904,None,"#81 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #2 in Card Stock",White,91904,5.77 pounds,$14.29,$47.97,$27.93,15
8.5 x 7 x 1.6 inches,B000PCY91O,None,No,China,"#72 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #1 in Craft Glue Gun Sticks",Clear,W220-14ZIP50,1.08 pounds,$6.28,$29.30,$0.00,15
