Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
0.13 x 3 x 5 inches,B002PI751C,"September 17, 2009",Dyno Merchandise,China,"#327 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #1 in Yarn Needles",None,1125,0.64 ounces,$2.37,$25.15,$0.00,14
None,B07TF4W6FW,None,LOVIMAG,China,"#1,945 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #6 in Embroidery Floss",140 Color,140P,10.8 ounces,$12.49,$28.35,$7.48,14
"10.5""L x 7""W x 1.75""H",B00N37SWX4,"August 27, 2014",Janlynn,USA,"#3,412 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #10 in Embroidery Floss",Clear,998-6013,5.6 ounces,$2.97,$28.91,$0.00,14
"5.31""W x 7.17""H",B0CJJPMHZ2,None,Lexibook,China,None,Blue,RL800D,7.8 ounces,$34.99,$30.56,$8.37,14
None,B000XZTOOA,"October 29, 2007",Notions - In Network,United Kingdom,"#2,456 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #3 in Yarn Needles",Silver,1767-24,0.16 ounces,$1.39,$25.09,$0.00,14
4.88 x 2.88 x 0.5 inches,B004ISBUXG,"April 21, 2004",Prym Consumer USA,China,None,None,26615,0.256 ounces,$6.59,$25.17,$0.00,14
10 x 9 x 1.5 inches,B087DYHMZ2,"April 21, 2020",Handcrafted LLC,None,"#7,973 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #23 in Embroidery Kits",Multicolor,None,10.6 ounces,$23.97,$29.72,$11.03,14
7 x 2.5 x 5 inches,B084DWDBGR,None,Just Play,Hong Kong,None,None,46211,8.8 ounces,$12.99,$27.56,$8.64,14
0.88 x 1.62 x 7.66 inches,B09Q64ZH3B,"January 11, 2022",IG Design Goup,China,"#8,384 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #2 in Latch Hook Supplies",None,3714743700M,0.634 ounces,$4.99,$25.28,$0.00,14
8.69 x 3.63 x 0.88 inches,B00172TD5S,"June 17, 2003",Clover,Japan,"#12,901 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #1 in Needle Felting Tools",None,8901,1.41 ounces,$11.15,$25.90,$0.00,14
None,B000W5HTX4,"September 18, 2007",Notions - In Network,France,"#14,671 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #43 in Embroidery Kits",None,U1539,0.704 ounces,$5.52,$25.57,$0.00,14
None,B005X4T81A,None,No,France,"#10,913 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #29 in Embroidery Floss",Black,117-310,0.32 ounces,$8.88,$25.40,$0.00,N/A
None,B001BLTV5W,"June 24, 2008",No,France,"#4,614 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #14 in Embroidery Floss",Multicolor,117F25HDC,3.52 ounces,$28.98,$25.95,$9.67,N/A
9 x 2.5 x 11 inches,B06XRRN4VL,"January 9, 2017",PlayMonster LLC,China,"#15,482 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #6 in Latch Hook Kits",Multicolor,1601Z,9.6 ounces,$19.99,$32.35,$10.78,14
2 x 0.5 x 2 inches,B00LSWT1N6,"July 14, 2014",Ningbo Yechang,China,"#21,022 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #6 in Cross-Stitch Counted Kits",None,998-6005,0.32 ounces,$5.19,$25.07,$0.00,14
None,B004GJBHO4,None,No,USA,"#16,259 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #36 in Embroidery Floss",White,72403,1.76 ounces,$3.88,$25.43,$0.00,14
None,B00441TYXU,"August 12, 2008",No,France,"#16,325 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #37 in Embroidery Floss",Black Brown,10606,0.16 ounces,$9.55,$25.33,$0.00,14
0.63 x 5.5 x 7.5 inches,B000FAFJQ0,"April 21, 2004",DiMarzio,China,None,Assorted,17066,0.96 ounces,$10.80,$26.13,$0.00,N/A
1.9 x 0.01 x 1.9 inches,B07KG7YVD8,None,"CSS Industries, Inc.",China,"#4,045 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #15 in Yarn Needles",None,35010051618WA,0.634 ounces,$1.47,$25.15,$0.00,14
0.25 x 8.9 x 11.75 inches,B001C1NMO2,"July 2, 2008",DMC,France,"#15,499 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #74 in Cross-Stitch Supplies",None,16730,0.811 ounces,$8.35,$26.03,$0.00,14
1.9 x 0.1 x 5.8 inches,B000B7S3JC,None,Clover,Japan,"#20,144 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #18 in Yarn Needles",None,219,0.212 ounces,$3.98,$25.04,$0.00,14
7.5 x 8.5 x 2.5 inches,B07LC47M8F,None,Creative Kids,China,"#19,499 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #10 in Latch Hook Kits",multicolor,BM-UNILAT-77876,9 ounces,$14.99,$30.46,$20.89,14
9 x 2.5 x 11 inches,B08VFGXYF3,None,PlayMonster LLC,China,"#17,636 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #8 in Latch Hook Kits",Pink,1803,9.6 ounces,$18.19,$32.38,$10.46,14
9 x 2.5 x 11 inches,B08BVSXHCP,None,PlayMonster LLC,China,"#17,423 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #7 in Latch Hook Kits",Multi,1606Z,9.6 ounces,$19.90,$32.34,$10.76,14
11 x 8.5 x 0.5 inches,B007X6YQO0,None,No,USA,"#2,956 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #24 in Embroidery Supplies",None,402,2.08 ounces,$5.84,$25.51,$0.00,14
5.75 x 3.55 x 0.15 inches,B08B4XMJKK,"June 13, 2020",FAT QUARTER SHOP,USA,"#26,559 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)  #2 in Cross-Stitch Patterns",None,ISE-802,1.28 ounces,$12.39,$25.87,$0.00,14
