Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
6.75 x 0.01 x 0.01 inches,B0064NMLV8,"November 8, 2011",Phiten,None,"#378,234 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #644 in Boys' Bracelets",Black/Red,None,1.6 ounces,None,None,None,N/A
0.98 x 5.98 x 2.99 inches,B00KHQKYYE,"May 22, 2014","PHI-TEN USA, Inc",None,"#778,832 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #1,794 in Boys' Necklaces",Black/Navy,None,1.44 ounces,None,None,None,N/A
1 x 1 x 1 inches,B08CS233RN,None,Fun Express,China,"#1,193,305 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #2,073 in Boys' Bracelets",None,13944265,0.1 Kilograms,$13.99,$26.17,$23.71,13
1 x 1 x 1.3 inches,B00A2E63BE,None,Real Cool Bug Company,China,"#1,212,165 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #258 in Boys' Rings  #2,302 in Girls' Rings",None,R0013-7,0.01 Kilograms,$5.90,$25.22,$0.00,13
1 x 1 x 1 inches,B07LBNLVLM,None,Great Eastern Entertainment,Taiwan,"#1,444,915 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #3,769 in Boys' Necklaces",None,GE87413,1 pounds,$15.00,$28.98,$13.13,N/A
1 x 1 x 1.3 inches,B00A2E5C84,None,Real Cool Bug Company,China,"#1,502,032 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #328 in Boys' Rings  #2,864 in Girls' Rings",None,OR012-6,0.05 Pounds,$7.65,$25.24,$0.00,13
1 x 1 x 1.3 inches,B00A2E5JFU,None,Real Cool Bug Company,China,"#1,325,138 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #294 in Boys' Rings  #2,528 in Girls' Rings",None,OR022-6,0.01 Kilograms,$7.18,$25.26,$0.00,13
1 x 1 x 1.3 inches,B00A2E60OO,None,Real Cool Bug Company,China,"#1,993,895 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #445 in Boys' Rings  #3,812 in Girls' Rings",None,R0011-7,0.387 ounces,$7.69,$25.23,$0.00,13
1 x 1 x 1.3 inches,B00A2E6B4I,None,Real Cool Bug Company,China,"#2,013,952 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #446 in Boys' Rings  #3,842 in Girls' Rings",None,R0021-6,0.352 ounces,$6.23,$25.23,$0.00,13
1 x 1 x 1.3 inches,B00A2E61XE,None,Real Cool Bug Company,China,"#2,546,044 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #557 in Boys' Rings  #4,724 in Girls' Rings",None,R0012-7,0.01 Kilograms,$7.03,$25.31,$0.00,N/A
