Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
0.04 x 0.59 x 0.43 inches,B09X7CRKRZ,"June 14, 2022",No,Malaysia,#3 in Micro SD Memory Cards,Gold/Red,SDSQXAV-256G-GN6MA,0.353 ounces,$28.99,$25.07,$7.11,12
0.04 x 0.59 x 0.43 inches,B0B7NTY2S6,"August 22, 2022",No,China,#1 in Micro SD Memory Cards,"Red, Grey",SDSQUAB-128G-GN6MA,0.16 ounces,$14.99,$25.18,$5.57,12
0.59 x 0.43 x 0.1 inches,B08TJRVWV1,"August 10, 2021",Amazon,Taiwan,#104 in Our Brands (See Top 100 in Our Brands)  #2 in Micro SD Memory Cards,None,LSMICRO128GU3,0.01 ounces,$14.99,$25.13,$5.56,12
14 x 6.9 x 4.9 inches,B075X6C5ZW,"November 27, 2017",No,Vietnam,#109 in Office Products (See Top 100 in Office Products)  #2 in Printer Toner Cartridges,None,TN760,1.4 pounds,$84.99,$38.46,$14.79,12
1 x 1 x 1 inches,B075X7TFY5,"November 27, 2017",TN730,None,#91 in Office Products (See Top 100 in Office Products)  #1 in Printer Toner Cartridges,Black,TN730,1.3 pounds,$45.48,$38.57,$10.42,12
1.26 x 0.94 x 0.09 inches,B0B7NS71G2,"September 15, 2022",No,Malaysia,#2 in SecureDigital Memory Cards,"Multicolor, Grey",SDSDUNB-128G-GN6IN,0.08 ounces,$16.99,$25.07,$5.78,12
2.65 x 2.65 x 0.43 inches,B0C29GRRCZ,"May 17, 2023",Square,China,#7 in Computer Memory Card Readers,None,None,5.9 ounces,$47.99,$26.47,$9.35,12
11.03 x 8.43 x 0.75 inches,B09D7NN6YZ,"August 20, 2021",MUXA,None,#5 in Lightning Cables,Multicolored,hs,6.4 ounces,$12.99,$26.99,$12.07,12
3.97 x 2.28 x 1.57 inches,B005EJH6Z4,"October 1, 2011",No,China,#153 in Our Brands (See Top 100 in Our Brands)  #4 in Computer Mice,Black,M8126AB01,2.21 ounces,$11.22,$26.39,$0.00,12
0.59 x 0.43 x 0.1 inches,B09B1GXM16,"September 7, 2021",No,Philippines,#9 in Micro SD Memory Cards,Blue,MB-ME256KA/AM,0.317 ounces,$24.99,$25.15,$14.74,12
7.58 x 7.37 x 3.44 inches,B09ZWCYQTX,"May 24, 2022",SteelSeries,China,#122 in Video Games (See Top 100 in Video Games)  #3 in Mac Game Headsets  #13 in PC Game Headsets  #105 in Climate Pledge Friendly: Computers,None,61520,2.97 pounds,$290.69,$37.26,$37.51,12
