Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
3.16 x 0.87 x 0.09 inches,B0BHJJ9Y77,"November 1, 2022",SAMUSNG,"Korea, Republic of",#1 in Internal Solid State Drives,Information Not Available,MZ-V9P2T0B/AM,1.92 ounces,$169.99,$25.71,$22.82,12
4.3 x 3.1 x 0.55 inches,B0BQX6NNVC,"December 22, 2022",Toshiba,Philippines,#2 in External Hard Drives,Black,HDTB520XK3AA,5.3 ounces,$70.54,$27.02,$0.00,12
0.38 x 2.07 x 3.97 inches,B08HN37XC1,"September 8, 2020",No,China,#1 in External Solid State Drives,Black,SDSSDE61-2T00-G25,1.76 ounces,$175.49,$26.83,$23.56,12
0.87 x 3.15 x 0.94 inches,B08RK2SR23,"January 6, 2021",No,"Korea, Republic of",#3 in Internal Solid State Drives,None,MZ-V8P2T0B,0.29 ounces,$169.97,$25.79,$22.82,12
2.24 x 0.79 x 0.53 inches,B0B6148YKN,"November 14, 2022",Amazon,Taiwan,#183 in Our Brands (See Top 100 in Our Brands)  #2 in USB Flash Drives,Black,LS21USB128G1,0.32 ounces,$14.61,$25.15,$5.51,12
0.42 x 0.87 x 0.31 inches,B081QSJNRJ,"January 16, 2015",No,China,#1 in USB Flash Drives,Black,SDCZ48-128G-GAM46,0.64 ounces,$12.99,$25.24,$0.00,12
3.15 x 0.87 x 0.15 inches,B0BBWH1R8H,"September 2, 2022","Kingston Digital, Inc.",Taiwan,#12 in Internal Solid State Drives,Blue,SNV2S/1000G,0.247 ounces,$60.99,$25.15,$10.65,N/A
3.1 x 0.9 x 0.1 inches,B0CRCC9863,"January 23, 2024",SAMSUNG,"Korea, Republic of",#5 in Internal Solid State Drives  #5 in Computer Internal Components,Black,MZ-V9E1T0B/AM,0.32 ounces,$89.99,$25.61,$13.93,12
3.94 x 2.76 x 0.27 inches,B08QBJ2YMG,"December 24, 2020",No,"Korea, Republic of",#2 in Internal Solid State Drives,None,MZ-77E1T0B/AM,2.08 ounces,$99.99,$25.59,$15.04,12
3.15 x 0.87 x 0.09 inches,B0B7CMZ3QH,"August 3, 2022","Western Digital Technologies, Inc.",Malaysia,#7 in Internal Solid State Drives,Black,WDS200T2X0E,0.264 ounces,$139.99,$25.54,$19.47,N/A
3.15 x 0.87 x 0.09 inches,B09QV5KJHV,"January 28, 2022","Western Digital Technologies, Inc.",Malaysia,#8 in Internal Solid State Drives,Black,WDS200T3X0E,0.192 ounces,$149.99,$25.53,$20.58,12
0.31 x 1.24 x 2.08 inches,B09BJYXMDW,"October 22, 2021",No,USA,#9 in External Solid State Drives,Black,STJR2000400,1.06 ounces,$249.99,$26.08,$31.76,12
3.3 x 2.2 x 0.3 inches,B0874XN4D8,"May 19, 2020",No,"Korea, Republic of",#3 in External Solid State Drives,Titan Gray,MU-PC1T0T,2.08 ounces,$114.99,$26.59,$16.82,12
3.46 x 2.36 x 0.55 inches,B0CHFSZX9W,"October 3, 2023",Samsung,"Korea, Republic of",#14 in External Solid State Drives,Black,MU-PG4T0B/AM,4.3 ounces,$371.98,$27.02,$45.41,12
3.39 x 2.24 x 0.49 inches,B0BHZQGN26,"November 15, 2022",No,"Moldova, Republic of",#6 in External Solid State Drives,Black,MU-PE4T0S/AM,3.42 ounces,$299.99,$26.83,$37.39,12
3.15 x 0.86 x 0.09 inches,B0CK2TC9XQ,"October 31, 2023",Crucial,Singapore,#17 in Internal Solid State Drives  #27 in Computer Internal Components,None,CT2000T500SSD8,0.35 ounces,$155.99,$25.30,$21.22,12
0.26 x 1.67 x 0.52 inches,B015CH1PJU,"October 12, 2015",No,China,#3 in USB Flash Drives,black,SDCZ73-128G-G46,0.159 ounces,$12.99,$25.18,$0.00,12
1.33 x 0.63 x 0.32 inches,B09WB2NL8W,"March 28, 2022",No,Taiwan,#6 in USB Flash Drives,Blue,MUF-256DA/AM,0.12 ounces,$29.99,$25.23,$7.23,12
5.3 x 3.4 x 0.79 inches,B00IRV005E,"March 4, 2014",No,Thailand,#9 in External Hard Drives,orange,LAC9000298,5.9 ounces,$93.46,$27.90,$14.56,12
3.95 x 2.75 x 0.27 inches,B07YD579WM,"October 24, 2019",No,China,#16 in Internal Solid State Drives,Black,CT1000BX500SSD1,0.1 ounces,$71.14,$25.35,$11.81,12
4.35 x 3.23 x 0.59 inches,B06W55K9N6,"February 27, 2017",No,China,#6 in External Hard Drives,Black,WDBU6Y0020BBK-WESN,4.6 ounces,$71.26,$27.10,$12.01,12
3.15 x 0.96 x 0.39 inches,B0C47ZX1WB,"June 6, 2023","Western Digital Technologies, Inc.",Malaysia,#20 in Internal Solid State Drives,Black,WDBBYV0020BNC-WRSN,1.07 ounces,$199.99,$25.59,$26.15,12
3.15 x 0.09 x 0.87 inches,B0B25NXWC7,"June 30, 2022",Crucial,Mexico,#6 in Internal Solid State Drives,Black,CT1000P3PSSD8,0.6 ounces,$72.45,$25.30,$11.94,12
5.79 x 4.01 x 1.03 inches,B084ZV4DXB,"February 20, 2020",Seagate,China,#3 in Internal Hard Drives,Silver,ST8000VNZ04/N004,1.62 pounds,$179.57,$31.93,$24.58,12
3.4 x 2.2 x 0.3 inches,B082YGVGQL,"February 24, 2020",No,"Korea, Republic of",#8 in External Solid State Drives,Black,MU-PC2T0K/WW,2 ounces,$139.99,$26.47,$19.57,12
0.41 x 2.28 x 4.36 inches,B08GV9M64L,"September 30, 2020",No,China,#11 in External Solid State Drives,Black,SDSSDE81-1T00-G25,2.72 ounces,$129.99,$26.39,$18.46,12
6.5 x 4.25 x 9.13 inches,B0C6927XPX,"May 25, 2023",Synology,Taiwan,#1 in Network Attached Storage (NAS) Enclosures,Black,DS224+,2.86 pounds,$296.99,$44.42,$0.00,N/A
3.81 x 1.85 x 0.39 inches,B0C5JNWF58,"May 22, 2023",No,Malaysia,#5 in External Solid State Drives,Black,SDSSDE30-2T00-G26,1.44 ounces,$119.99,$25.87,$17.28,12
3.15 x 0.87 x 0.09 inches,B0B25LZGGW,"June 30, 2022",Crucial,Mexico,#13 in Internal Solid State Drives,Black,CT1000P3SSD8,0.6 ounces,$60.99,$25.31,$10.68,12
4.37 x 3.15 x 0.53 inches,B08JKHPV1V,"October 16, 2020",No,Philippines,#12 in External Hard Drives,Silver,HDTX120XSCAA,5.3 ounces,$77.60,$27.18,$12.73,12
2.56 x 1.97 x 0.39 inches,B0C9WJQ9GP,"July 25, 2023",Crucial,Thailand,#19 in External Solid State Drives,Black,CT4000X10PROSSD902,1.48 ounces,$299.99,$25.71,$37.27,12
4.22 x 2.95 x 0.75 inches,B07VP5X239,"August 26, 2019",No,Thailand,#21 in External Hard Drives,Black,WDBPKJ0050BBK-WESN,7.4 ounces,$129.99,$27.46,$18.57,N/A
1.5 x 0.81 x 0.37 inches,B06XC1WGQR,"March 14, 2017",No,China,#12 in USB Flash Drives,"Silver, Black",164113,0.321 ounces,$21.99,$25.31,$6.35,12
3.94 x 2.76 x 0.27 inches,B089C3TZL9,"June 30, 2020",Samsung,"Korea, Republic of",#104 in Internal Solid State Drives,Black,MZ-77Q8T0B/AM,3.04 ounces,$614.18,$25.79,$72.19,12
0.9 x 0.7 x 0.3 inches,B07D7PDLXC,"July 1, 2018",No,Taiwan,#11 in USB Flash Drives,Gunmetal Gray,MUF-128AB/AM,0.112 ounces,$16.99,$25.15,$5.78,12
1.57 x 0.62 x 0.23 inches,B07SYRW97F,"June 28, 2019",No,China,#27 in USB Flash Drives,Black,SDCZ74-256G-G46,0.279 ounces,$15.13,$25.15,$5.58,12
2.56 x 1.97 x 0.39 inches,B0CGW1FQV4,"September 26, 2023",Micron,Thailand,#18 in External Solid State Drives,Black,CT1000X9SSD902,1.13 ounces,$85.99,$25.51,$13.47,12
1.17 x 0.56 x 0.2 inches,B083ZS4HYD,"January 29, 2020",No,China,#21 in USB Flash Drives,Black,SDCZ430-512G-G46,0.048 ounces,$38.84,$25.25,$8.21,12
5.31 x 1.89 x 6.53 inches,B09VCXWPQG,"April 5, 2022","Western Digital Technologies, Inc.",Thailand,#30 in External Hard Drives,Black,WDBWLG0200HBK-NESN,1.98 pounds,$359.99,$36.16,$0.00,N/A
3.15 x 0.87 x 0.09 inches,B0C8XMH264,"June 28, 2023","Western Digital Technologies, Inc.",Malaysia,#28 in Internal Solid State Drives,Blue,WDS100T3B0E,0.16 ounces,$71.38,$25.52,$11.85,12
1.97 x 0.61 x 0.34 inches,B08JD2LXXG,"October 30, 2020","Western Digital Technologies, Inc.",Thailand,#49 in USB Flash Drives,Black,SDIX70N-256G-GN6NE,0.16 ounces,$57.99,$25.31,$10.34,N/A
2.19 x 1.24 x 0.3 inches,B0C44XVWCH,"June 7, 2023",Western Digital Technologies Inc.,Malaysia,#465 in Video Games (See Top 100 in Video Games)  #23 in External Solid State Drives  #30 in Xbox Legacy Systems,Black,WDBMPH0010BNC-WCSN,0.882 ounces,$149.99,$25.51,$48.05,12
3.95 x 2.75 x 0.28 inches,B09ZYQ84CM,"May 16, 2022","Western Digital Technolgoies, Inc.",Malaysia,#28 in Internal Solid State Drives,Blue,WDS100T3B0A,1.22 ounces,$84.86,$25.51,$13.35,12
4.36 x 2.28 x 0.47 inches,B0BW6715SV,"May 8, 2023","Western Digital Technologies, Inc",Malaysia,#46 in External Solid State Drives,Black,SDPS31H-004T-GBCND,4.3 ounces,$399.99,$26.47,$48.45,12
3.15 x 0.87 x 0.16 inches,B07ZGJVTZK,"November 6, 2019",No,China,#36 in Internal Solid State Drives,A60,FIN-SP001TBP34A60M28,0.3 ounces,$64.99,$25.12,$11.10,N/A
1.75 x 0.48 x 0.34 inches,B0842P5GG5,"April 30, 2020",No,China,#43 in USB Flash Drives,Silver,SDDDC4-1T00-G46,0.635 ounces,$84.99,$25.23,$13.33,12
2.79 x 0.84 x 0.45 inches,B08GYPZ8GN,"October 26, 2020",No,Malaysia,#51 in USB Flash Drives,Black,SDCZ880-1T00-GAM46,0.64 ounces,$104.99,$25.46,$15.57,12
5.79 x 4 x 1.03 inches,B0966TZJGJ,"May 7, 2021","Western Digital Technologies, Inc.",Thailand,#26 in Internal Hard Drives,Purple,WD101PURP,1.6 pounds,$240.95,$32.73,$31.49,12
3.15 x 0.87 x 0.1 inches,B08V83JZH4,"March 9, 2021",Samsung,"Korea, Republic of",#42 in Internal Solid State Drives,None,MZ-V8V1T0B/AM,0.1 ounces,$109.99,$25.97,$16.18,12
3.94 x 2.75 x 0.28 inches,B01N5IB20Q,"July 1, 2018",No,Taiwan,#32 in Internal Solid State Drives,Black,SA400S37/240G,1.44 ounces,$27.99,$25.43,$7.03,12
2.08 x 0.47 x 0.49 inches,B07VQPDM56,"September 1, 2019",No,Thailand,#65 in USB Flash Drives,Black,SDIX60N-256G-GN6NE,0.254 ounces,$59.99,$25.28,$10.56,12
2.54 x 2.54 x 0.34 inches,B097TSN41S,"June 30, 2021",No,China,#24 in External Solid State Drives,Black,WDBAYN0020BBK-WESN,0.952 ounces,$119.99,$26.39,$17.35,12
4.02 x 2.85 x 0.43 inches,B09DBTWWSF,"August 22, 2021",PNY,Taiwan,#39 in USB Flash Drives,Silver,P-FD128X2TBOP-MP,0.634 ounces,$19.99,$25.15,$6.11,N/A
4.3 x 3.1 x 0.77 inches,B08JKCWRTD,"October 16, 2020",No,Philippines,#23 in External Hard Drives,Black,HDTCA40XK3CA,7.7 ounces,$99.99,$27.46,$0.00,12
3.94 x 2.75 x 0.28 inches,B07XZLN9KM,"July 23, 2019",PNY,China,#35 in Internal Solid State Drives,Black,SSD7CS900-500-RB,1.9 ounces,$36.99,$25.61,$8.05,12
6.5 x 4.13 x 0.63 inches,B0CGKY9K2Y,"October 3, 2023",Lexar International,Taiwan,#155 in Internal Solid State Drives,Black,LNM790X004T-RN9NU,1.71 ounces,$269.99,$25.71,$33.93,12
1.58 x 0.61 x 0.47 inches,B07BPKL2D2,"April 30, 2018",No,Taiwan,#56 in USB Flash Drives,Gray,MUF-256BE4/AM,0.04 ounces,$25.99,$25.31,$6.79,12
4.33 x 3.21 x 0.83 inches,B07X46C64N,"October 4, 2019",No,Thailand,#25 in External Hard Drives,Blue,WDBFTM0050BBL-WESN,4.6 ounces,$136.31,$27.90,$19.32,N/A
5.79 x 4 x 1.03 inches,B0C4X6RDV8,"May 10, 2023","Western Digital Technologies, Inc.",Thailand,#10 in Internal Hard Drives,Purple,WD43PURZ,1.21 pounds,$94.91,$29.90,$14.95,12
1.75 x 0.48 x 0.34 inches,B0859NR7KY,"March 2, 2020",No,Malaysia,#55 in USB Flash Drives,Black,SDDDC3-512G-G46,0.282 ounces,$36.99,$25.23,$8.00,12
5.79 x 4.01 x 1.03 inches,B08KTM4SNY,"September 30, 2020",Seagate,Thailand,#25 in Internal Hard Drives,multi-color,ST8000VEZ01,1.52 pounds,$199.99,$36.16,$27.32,12
3.74 x 1.57 x 0.67 inches,B0CMDGGJTZ,"November 14, 2023",Samsung,"Korea, Republic of",#60 in External Solid State Drives,Black,MU-PH8T0S/AM,3.6 ounces,$599.99,$26.71,$70.71,12
1.03 x 5.79 x 4 inches,B08K3VVKSW,"September 29, 2020",Western Digital,China,#36 in Internal Hard Drives,Red,WD161KFGX-SPAFPN0,1.52 pounds,$316.90,$31.77,$39.82,12
4.06 x 0.28 x 2.76 inches,B078211KBB,"December 21, 2017",No,Mexico,#84 in Internal Solid State Drives,Blue/Gray,CT1000MX500SSD1,0.353 ounces,$87.74,$25.59,$13.67,N/A
0.28 x 3.96 x 2.75 inches,B09NQJMW28,"December 16, 2021","Western Digital Technologies, Inc.",Malaysia,#80 in Internal Solid State Drives,Black,SDSSDA-1T00-G27,1.12 ounces,$74.95,$25.43,$12.24,12
6.5 x 3.94 x 8.9 inches,B0C8814GKB,"June 28, 2023",Synology,Taiwan,#2 in Network Attached Storage (NAS) Enclosures,White,DS223j,1.91 pounds,$185.99,$41.85,$26.39,12
1.18 x 0.86 x 0.09 inches,B0CHJXZMSG,"September 12, 2023","Western Digital Technologies, Inc.",China,#121 in Internal Solid State Drives  #503 in Computer Internal Components,Black,WDBDNH0020BBK-WRSN,0.099 ounces,$212.99,$25.51,$27.58,12
2.56 x 1.97 x 0.39 inches,B0C9WGQY8G,"July 25, 2023",Crucial,Thailand,#63 in External Solid State Drives,Gray,CT4000X9PROSSD902,1.34 ounces,$287.99,$25.59,$35.92,12
3.15 x 0.87 x 0.15 inches,B0CTRVZKG7,"March 12, 2024",Crucial,Mexico,#142 in Internal Solid State Drives  #643 in Computer Internal Components,Black,CT2000T705SSD3,0.35 ounces,$294.99,$25.59,$36.70,12
5.79 x 4 x 1.03 inches,B08VH8R94B,"January 31, 2021","Western Digital Technologies, Inc.",China,#19 in Internal Hard Drives,Blue,WD20EZBX-SPAYRA0,15.9 ounces,$64.99,$29.74,$11.61,12
0.83 x 0.6 x 0.25 inches,B01LFV52Y6,"August 30, 2016",No,Taiwan,#65 in USB Flash Drives,Black,P-FDI64GEXFIT-GE,0.528 ounces,$8.99,$25.14,$0.00,12
0.87 x 0.9 x 3.15 inches,B07MFZXR1B,"June 3, 2019",No,China,#54 in Internal Solid State Drives,None,MZ-V7S2T0B/AM,1.9 ounces,$159.99,$25.71,$21.71,N/A
6.5 x 4.25 x 9.17 inches,B0BRNBVTJK,"February 8, 2023",Synology,Taiwan,#4 in Network Attached Storage (NAS) Enclosures,Black,DS223,2.82 pounds,$249.99,$43.82,$33.72,12
5.7 x 3.97 x 0.9 inches,B016498CK0,"September 18, 2015",No,China,#23 in Internal Solid State Drives,None,CSSD-BRKT2,1.6 ounces,$4.99,$25.82,$0.00,12
0.87 x 1.18 x 0.12 inches,B0CKXZBFNY,"October 31, 2023",Corsair,Taiwan,#71 in Internal Solid State Drives  #208 in Computer Internal Components,Black,CSSD-F1000GBMP600CMN,0.098 ounces,$79.99,$25.19,$12.77,12
5.79 x 4 x 1.03 inches,B09NCMMSQX,"December 9, 2021","Western Digital Technologies, Inc.",Thailand,#30 in Internal Hard Drives  #382 in Computer Internal Components,Black,WD6004FZWX-SPBKVA0,1.65 pounds,$149.99,$32.29,$21.34,N/A
