Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
None,B005B8LZCI,"July 21, 2011",No,Slovenia,#390 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #1 in Cut-Off Wheels,Multi,DW8062B5,0.32 ounces,$6.40,$26.75,$0.00,13
4.49 x 1.54 x 1.26 inches,B09Z73PD6J,"July 9, 2022",Milescraft,China,"#2,258 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #2 in Sanding Blocks",None,1622,1.41 ounces,$3.99,$25.43,$0.00,13
3 x 4 x 8 inches,B0018SCH2W,"August 17, 2005",No,China,"#1,033 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #3 in Sanding Steel Wool",None,10120000,5 ounces,$4.97,$28.68,$0.00,13
"2.6""L x 3.75""W x 1""Th",B0077AL08C,"May 7, 2012",No,USA,"#1,220 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #2 in Sanding Sponges",Black,19093,2.24 ounces,$5.98,$28.06,$0.00,13
10 x 2 x 10.88 inches,B07YNK8XQZ,"October 2, 2019",Hyde,USA,"#5,729 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #4 in Sanding Blocks",None,09977,1.01 pounds,$22.19,$31.33,$13.70,13
2.5 x 0.5 x 5 inches,B003WUYG1E,"February 13, 2010",No,USA,"#8,288 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #7 in Sanding Blocks",Factory,SB-1,0.317 ounces,$8.76,$25.30,$0.00,13
None,B0000224J0,"June 15, 2006",Yes,Canada,"#11,449 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #13 in Circular Saw Blades  #122 in Abrasive & Finishing Products",Multi,DW8001,1.2 pounds,$5.95,$30.58,$0.00,13
1.06 x 4.75 x 1.88 inches,B074BC2GXL,"July 27, 2017",DEWALT,China,"#3,620 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #8 in Cut-Off Wheels",Multi,DWA4972,1.06 ounces,$2.95,$25.27,$0.00,13
"4.84""L x 2.87""W x 1""Th",B00125NQBC,None,No,USA,"#3,535 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #29 in Sander Sheets  #108 in Abrasive & Finishing Products",Black,9095DC-NA,1.13 ounces,$4.83,$25.46,$0.00,13
"3.9""L x 0.1""W",B001AW4EAO,"August 17, 2005",No,USA,"#3,086 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #8 in Sanding Sponges",Assorted Grit,5931,0.8 ounces,$3.28,$25.39,$0.00,13
3 x 4 x 8 inches,B009YNYDOS,"August 17, 2005",No,China,"#3,614 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #7 in Sanding Steel Wool",Gray,10121100,0.01 ounces,$4.98,$28.32,$0.00,13
"5.5""L x 3.75""W",B019WCOIE0,"December 28, 2015",No,China,"#8,808 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #29 in Power Sander Hook & Loop Discs",Assorted,6301SP,0.01 ounces,$6.81,$26.32,$0.00,13
"5""L x 5""W",B006ERQD2M,"October 30, 2016",No,China,"#5,164 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #16 in Cut-Off Wheels",None,"DW8062 - 10,PK",14 ounces,$18.27,$28.50,$21.42,13
