Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
"42""L x 2.25""W",B0000DH4JL,None,No,USA,#331 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #3 in Weather Stripping,Gray,AC43H,0.01 ounces,$4.93,$33.27,$0.00,13
4.69 x 2 x 1.19 inches,B003WXGLS2,None,No,China,#274 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #1 in Commercial Access Control  #1 in Key Cabinets,None,207D,2.4 ounces,$3.75,$25.89,$0.00,13
"36""L x 2""W",B00P4QHJNG,"November 2, 2014",No,USA,#899 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #1 in Thresholds,White,43336,11.2 ounces,$12.50,$28.95,$7.57,13
2.63 x 5.25 x 5.5 inches,B08VM7NNXD,"February 1, 2021",3M,China,#208 in Office Products (See Top 100 in Office Products)  #4 in Door Stops,None,SP947-NA,2.08 ounces,$4.09,$25.87,$0.00,13
11.5 x 8.75 x 11.5 inches,B000CSGELY,"December 2, 2006",No,China,"#1,275 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #7 in Weather Stripping",Gray,2006,0.634 ounces,$2.93,$29.14,$0.00,13
11.4 x 3.5 x 2.3 inches,B005Q5JA9G,"January 19, 2018",701327,None,"#1,248 in Office Products (See Top 100 in Office Products)  #2 in Commercial Access Control  #2 in Key Cabinets",Black,0736511590128,1.6 ounces,$4.97,$25.51,$0.00,13
"36""L x 2""W",B00PKSFEAI,"November 13, 2014",No,USA,"#2,654 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #2 in Thresholds",Brown,43337,11.4 ounces,$12.00,$29.18,$16.50,13
"120""L x 0.75""W",B0000CBIFD,"February 17, 2007",No,USA,#990 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #5 in Weather Stripping,Black,R734H,3.2 ounces,$4.47,$28.90,$0.00,13
16.5 x 2.5 x 3.5 inches,B07H15GP7R,"August 31, 2018",No,China,#469 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #2 in Sliding Door Hardware,Black,SECURITYBARB,2 pounds,$19.99,$33.57,$27.13,13
15.37 x 2.38 x 0.19 inches,B00QF6DFJQ,None,No,China,"#2,943 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #5 in Door Hinges",None,240,0.634 ounces,$10.99,$28.32,$4.45,13
3.5 x 3.5 x 0.1 inches,B07GF54KV8,"December 20, 2018",Amazon,China,"#3,165 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #2 in Door Hinges",Satin Nickel,AB-DH550-SN,9.4 ounces,$12.76,$28.26,$21.24,13
36 x 2 x 0.5 inches,B002J49ZBK,None,No,China,"#6,118 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #3 in Thresholds",None,43820,5.7 ounces,$12.99,$26.43,$11.85,13
"3.54""L x 3.54""W",B07BVCSSB9,"June 4, 2018",No,China,"#5,385 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #11 in Sliding Door Hardware",Black,"EaseLife 12"" Barn Door Hardware Handle S",2.67 pounds,$26.79,$36.00,$39.96,13
3.75 x 3.75 x 17.75 inches,B09X6BT44D,"April 16, 2022",Master Lock,China,None,White,270EC,2 pounds,$28.99,$36.76,$32.86,13
4.62 x 0.62 x 1.5 inches,B000I1ARA4,"May 3, 2006",No,Taiwan,"#7,632 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #15 in Sliding Door Hardware",Mill,N 6560,0.01 ounces,$5.67,$26.07,$0.00,13
3.5 x 3.5 x 0.59 inches,B07GF4ZR17,"December 20, 2018",Amazon,China,"#4,735 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #7 in Door Hinges",Matte Black,AB-DH548-MB,3.17 ounces,$34.81,$53.92,$43.68,13
4.4 x 2.4 x 0.8 inches,B005L786EY,"June 1, 2015",91501,None,"#2,706 in Office Products (See Top 100 in Office Products)  #6 in Commercial Access Control  #6 in Key Cabinets",None,91501,0.8 ounces,$8.15,$25.59,$0.00,13
196 x 1.4 x 0.1 inches,B08S3M2HKL,"January 5, 2021",Emson,Afghanistan,"#10,211 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #63 in Weather Stripping",Transparent,7688,0.01 ounces,$24.25,$30.18,$18.88,N/A
36 x 3 x 1 inches,B0000CBIJQ,"February 17, 2007",No,USA,"#8,917 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #7 in Thresholds",Brown,B59/36H,0.5 ounces,$9.93,$26.59,$0.00,13
5.9 x 2.25 x 4.15 inches,B082WX9FZP,None,Umbra,China,"#3,403 in Office Products (See Top 100 in Office Products)  #43 in Door Stops",None,1013258-149,3.52 ounces,$8.50,$26.97,$0.00,13
7.5 x 3.88 x 7.75 inches,B000IO8SZC,"September 14, 2004",No,China,"#9,963 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #57 in Door Stops  #291 in Door Hardware & Locks",Satin Nickel,3314,2.4 ounces,$6.50,$26.43,$0.00,13
40.25 x 4.25 x 4.75 inches,B000I1AREA,None,No,China,"#7,151 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #4 in Thresholds",None,68247,9.6 ounces,$15.14,$27.38,$7.74,13
3 x 2.5 x 0.63 inches,B000KKTG96,"January 16, 2007",No,Mexico,"#6,306 in Office Products (See Top 100 in Office Products)  #69 in Door Stops",Bright Brass,70A5,0.634 ounces,$3.25,$25.19,$0.00,13
"36""L x 0.25""W",B00005202G,"December 2, 2006",No,USA,"#12,629 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #12 in Thresholds",Silver,5389,0.01 ounces,$13.73,$27.18,$21.19,13
8.3 x 4 x 2.7 inches,B0000CBIFF,"January 1, 2008",No,USA,"#13,703 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #77 in Weather Stripping",Multicoloured,2110NA,2.39 ounces,$8.27,$25.96,$0.00,13
1 x 2.2 x 1 inches,B002KFZVH0,"August 26, 2009",No,China,"#6,925 in Office Products (See Top 100 in Office Products)  #73 in Door Stops",White,N213-561,1.4 ounces,$6.27,$25.46,$0.00,13
4.75 x 2 x 3 inches,B07Q5RXGDT,"May 17, 2019",HauSun,None,"#10,982 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #24 in Sliding Door Hardware",White,DH,4.9 ounces,$25.69,$26.23,$26.35,13
38 x 3.88 x 2 inches,B000CRIK1M,"January 1, 2008",No,USA,"#14,537 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #13 in Thresholds",White,5769,0.01 ounces,$10.00,$27.22,$0.00,13
1.38 x 1.5 x 3 inches,B07N8W8YQ4,"January 31, 2019",Prime-Line Products,China,"#14,248 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #32 in Sliding Door Hardware",Zinc,N 7533,1.12 ounces,$5.76,$26.15,$0.00,13
1 x 2.9 x 0.9 inches,B015SLMR1U,"October 14, 2015",No,China,#2 in Security Access-Control Keypads,Dark Gray,AK-R1,2.4 ounces,None,None,None,N/A
0.59 x 1.5 x 2.5 inches,B00DTIF7DK,"February 27, 2010",No,China,"#15,678 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #41 in Sliding Door Hardware",White,E 2124,1.58 ounces,$9.99,$25.39,$0.00,13
6.25 x 6.25 x 6.25 inches,B00AU4D9H2,None,No,China,"#3,826 in Office Products (See Top 100 in Office Products)  #45 in Door Stops",None,DE1586,4 pounds,$16.99,$43.38,$0.00,13
6 x 4 x 0.1 inches,B00YRHUYJY,"August 21, 2015",No,China,"#17,899 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #35 in Door Hinges",Silver and Black,1222,8.8 ounces,$15.98,$27.46,$4.81,13
0.25 x 1.5 x 84 inches,B00JBMWHOU,"November 23, 2006",No,China,"#15,242 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #43 in Sliding Door Hardware",Black,B 705,6.1 ounces,$10.21,$27.26,$0.00,13
1.75 x 3.75 x 11.5 inches,B00GS8H0D8,"November 19, 2013",The Hillman Group,Taiwan,"#10,561 in Office Products (See Top 100 in Office Products)  #108 in Door Stops",Satin Chrome,852940,8.1 ounces,$7.99,$27.02,$0.00,13
36 x 2 x 1 inches,B000BD8J6S,"August 17, 2005",No,China,"#11,278 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #9 in Thresholds",White,SDB36WH,4 ounces,$11.27,$27.47,$0.00,13
"1.26""L x 3.74""W x 8.39""Th",B00E3NCFC6,"July 22, 2013",Prime-Line Products,Taiwan,"#18,387 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #48 in Sliding Door Hardware",Mill,N 6796,1.6 ounces,$3.03,$26.12,$0.00,13
3 x 1 x 1 inches,B009E1WF0E,"September 19, 2012",Schlage Lock Company,China,"#8,325 in Office Products (See Top 100 in Office Products)  #88 in Door Stops",None,060F26D,0.774 ounces,$1.00,$25.19,$0.00,13
3.54 x 1.97 x 0.59 inches,B07GF4X7WC,"December 20, 2018",Amazon,China,"#16,749 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #33 in Door Hinges",Matte Black,AB-DH549-MB,3.17 ounces,$21.96,$44.86,$33.36,13
5 x 4.75 x 6 inches,B00OPBJ0AQ,None,No,China,"#9,602 in Office Products (See Top 100 in Office Products)  #98 in Door Stops",None,72157,2 pounds,$11.00,$33.77,$0.00,13
0.2 x 0.58 x 0.7 inches,B000AYFPSI,"February 17, 2007",No,USA,"#17,947 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #91 in Weather Stripping",clear,T96H,8 ounces,$9.27,$27.18,$0.00,13
"204""L x 0.25""W",B00FQ5A5RM,"October 9, 2013","Thermwell Products Co., Inc",China,"#11,972 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #70 in Weather Stripping",Black,V25BK,3.52 ounces,$8.68,$26.84,$0.00,13
5.91 x 5.91 x 0.79 inches,B001JEOIFY,"November 11, 2008",No,China,"#24,264 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #53 in Door Hinges",Black,1213,1.77 pounds,$29.77,$32.17,$31.07,13
37.25 x 6.62 x 3.62 inches,B0006VAM9M,"September 14, 2004",No,China,"#27,677 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #123 in Weather Stripping",Mill/Vinyl,68593,2.58 pounds,$31.33,$35.76,$29.96,13
3 x 3.81 x 6.44 inches,B00E4BI012,"July 22, 2013",No,China,"#20,632 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #61 in Sliding Door Hardware",White,M 6219,1.28 ounces,$6.99,$25.72,$0.00,13
"3.16""L x 0.94""W x 0.94""Th",B07PFFFFMT,"August 15, 2019",Amazon,China,"#2,998 in Our Brands (See Top 100 in Our Brands)  #127 in Door Stops",Brushed Nickel,AB5600-BN-12,6.3 ounces,$15.19,$27.82,$22.17,13
1.6 x 3 x 6 inches,B0084LZYVW,"April 26, 2012",No,Mexico,"#25,511 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #121 in Weather Stripping",None,10111NA,1.44 ounces,$3.98,$26.08,$0.00,13
"2.5""L x 0.5""W x 2.5""Th",B0052EBBVQ,"June 28, 2013",Prime-Line Products,China,"#27,691 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #83 in Sliding Door Hardware",Zinc,E 2125,0.01 ounces,$5.93,$25.91,$0.00,13
36 x 2 x 0.25 inches,B005MUEQ26,"September 14, 2011","Thermwell Products Co., Inc",USA,"#10,768 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #8 in Thresholds",Silver - Aluminum,SB36,7 ounces,$16.49,$26.93,$25.44,13
1.38 x 4.5 x 8.8 inches,B00P4CHXZO,"November 1, 2014",HAMPTON PRODUCTS-WRIGHT,China,"#20,676 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #44 in Door Hinges",White,V226WH,11.2 ounces,$14.15,$27.78,$21.68,13
5 x 4.8 x 6 inches,B00YQM4982,None,No,China,"#15,864 in Office Products (See Top 100 in Office Products)  #160 in Door Stops",None,72198,2 pounds,$18.80,$33.87,$0.00,13
37 x 1.87 x 0.56 inches,B001M58S8I,"November 25, 2008",No,China,"#25,371 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #19 in Thresholds",Bronze,68734,10.4 ounces,$10.50,$27.82,$0.00,13
8.5 x 5 x 9.75 inches,B000X1HEVY,"October 10, 2007",No,China,"#11,106 in Office Products (See Top 100 in Office Products)  #114 in Door Stops",Yellow,3763,3.36 ounces,$9.42,$27.52,$0.00,13
0.51 x 3.94 x 6.69 inches,B000RHFZ7E,None,No,None,"#17,563 in Office Products (See Top 100 in Office Products)  #182 in Door Stops",None,24240,1.76 ounces,$5.68,$25.43,$0.00,13
"120""L x 0.5""W",B0025KUSWI,"April 27, 2009",No,China,"#20,705 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #104 in Weather Stripping",Black,284425,0.96 ounces,$5.24,$28.11,$0.00,13
36 x 5.6 x 1 inches,B004Q048NA,"February 28, 2011","Thermwell Products Co., Inc",USA,"#34,831 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #30 in Thresholds",Mill Finish,TS36A,2.7 pounds,$25.93,$38.08,$24.71,13
"2.8""D x 7""W x 9.8""H",B0879XXK33,"March 9, 2021",KB-03,None,"#14,949 in Office Products (See Top 100 in Office Products)  #20 in Key Cabinets  #23 in Commercial Access Control",Black,KB-03,3.52 pounds,$25.50,$39.59,$41.31,13
3 x 2.5 x 0.63 inches,B009E1W1US,"January 15, 2011",Schlage Lock Company,India,"#15,387 in Office Products (See Top 100 in Office Products)  #151 in Door Stops",White,70A-W,0.8 ounces,$3.95,$25.23,$0.00,13
"36""L x 1.03""W",B001EQOKXC,"November 12, 2009",No,China,"#30,214 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #23 in Thresholds",Black,25756,0.48 ounces,$5.35,$26.32,$0.00,13
9 x 4.5 x 5.5 inches,B0063KZ9C0,"December 31, 2004",46061,Vietnam,"#9,319 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #19 in Key Cabinets  #22 in Commercial Access Control",Black,46061,1.6 ounces,$6.99,$25.71,$0.00,13
36 x 1.75 x 1.5 inches,B011ABM9MO,"July 9, 2015",No,USA,"#31,694 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #25 in Thresholds",White,19105,10.1 ounces,$13.29,$27.50,$18.91,13
1 x 0.87 x 7.25 inches,B000I1VAZ0,"November 23, 2006",No,China,"#35,193 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #119 in Sliding Door Hardware",Black,C 1033,10.7 ounces,$19.74,$27.90,$30.86,13
0.25 x 2 x 26 inches,B00GI1CWHO,"November 6, 2013",The Hillman Group,China,"#19,220 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #40 in Door Hinges",Nickel,851063,8 ounces,$9.99,$26.99,$0.00,13
37.25 x 5.5 x 3.87 inches,B0015S6CMG,"November 25, 2008",No,China,"#35,820 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #31 in Thresholds",Bronze,69554,13.8 ounces,$12.21,$29.38,$16.65,13
1.75 x 1.75 x 3 inches,B00L0FNPUG,"June 15, 2014",Richelieu,China,"#15,822 in Office Products (See Top 100 in Office Products)  #158 in Door Stops",Brushed Nickel,67NBR,3.2 ounces,$9.14,$26.23,$0.00,13
"5""L x 1""W",B0026SIECU,"November 23, 2006",No,China,"#39,101 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #133 in Sliding Door Hardware",White,C 1196,0.16 ounces,$9.86,$26.76,$0.00,13
8 x 11.5 x 0.66 inches,B000117C4A,"February 17, 2007",No,USA,"#42,458 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #174 in Weather Stripping",Gray|Grays,V447H,6.3 ounces,$10.97,$32.64,$8.58,13
0.63 x 3.81 x 5.44 inches,B00DRZO3TO,"June 28, 2013",No,China,"#35,347 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #89 in Door Hinges",White,K 5131,0.32 ounces,$12.49,$25.44,$0.00,13
5 x 4 x 6 inches,B01MZ8IT2D,None,No,China,"#18,792 in Office Products (See Top 100 in Office Products)  #190 in Door Stops",None,72238,2.9 pounds,$13.24,$36.76,$0.00,13
"36""L x 1.18""W",B000CRIJS6,"December 4, 2006",No,USA,"#18,816 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #15 in Thresholds",Gray,13417,7 ounces,$5.27,$26.79,$0.00,13
32 x 3.75 x 0.75 inches,B000CRHYVY,"December 2, 2006",No,China,"#36,235 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #32 in Thresholds",Aluminum,08086,1.61 pounds,$15.95,$31.57,$18.78,13
6.75 x 6.5 x 0.38 inches,B001AV54B8,"June 8, 2008",Frost King,USA,"#36,632 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #157 in Weather Stripping",White,R338WH,0.64 ounces,$2.93,$26.21,$0.00,13
36.5 x 2.21 x 0.61 inches,B007JD4XYA,"March 21, 2012",No,China,"#48,638 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #45 in Thresholds",Mill,67106,13.4 ounces,$22.50,$50.82,$28.07,13
3.25 x 1 x 1 inches,B001XJ6FQA,"May 3, 2006",Schlage Lock Company,China,"#19,840 in Office Products (See Top 100 in Office Products)  #198 in Door Stops",None,64A3,1.44 ounces,$2.40,$25.35,$0.00,13
