Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
13 x 11 x 20 inches,B07KM2WKSK,None,Travelers Club Luggage,China,"#390 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #3 in Carry-On Luggage",None,HS-20720-EX-670N,2.55 Kilograms,$42.99,$124.77,$92.37,13
12.4 x 19.6 x 27.75 inches,B074VLKTGY,None,Samsonite Corporation,Myanmar,"#20,948 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #40 in Carry-On Luggage",None,102690-1101,10.8 Pounds,$168.68,$258.31,$231.94,13
14 x 9 x 22 inches,B0BDFZT73G,None,LuggeX Luggage,USA,"#6,965 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #15 in Carry-On Luggage",None,Kv-gbk20,7 Pounds,$154.33,$128.22,$154.18,13
10 x 15.5 x 23 inches,B07QW9LMRT,None,Travelpro International Inc.,China,"#11,981 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #35 in Carry-On Luggage",None,407186301,3.63 Kilograms,$202.49,$150.21,$191.95,13
14 x 8.5 x 15 inches,B0762TC6XW,None,No,USA,"#5,266 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #10 in Carry-On Luggage",None,PR-85315-510,4.4 Pounds,$48.00,$78.55,$70.19,13
14 x 9 x 22 inches,B09Y2DBZGS,None,Briggs & Riley,Indonesia,"#54,058 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #92 in Carry-On Luggage",None,BLU122CXSP-4,10 Pounds,$699.00,$133.81,$450.49,N/A
13 x 10 x 20 inches,B07DC1DB23,None,Fox Luggage,China,"#2,035 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #7 in Carry-On Luggage",None,F1901-MINT,6.5 Pounds,$53.37,$118.85,$94.78,N/A
9 x 14 x 21 inches,B01N0DG6Z5,None,No,Thailand,"#65,557 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #116 in Carry-On Luggage",None,409182201,7.72 Pounds,$365.49,$153.68,$281.57,13
16.25 x 10.5 x 26.9 inches,B07X5CTFXZ,None,SwissGear,China,"#42,542 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #74 in Carry-On Luggage",None,7272202167,8.8 Pounds,$74.99,$179.14,$138.87,N/A
21.5 x 9.5 x 14.5 inches,B07YNKDNKW,None,Travelers Club Luggage,China,"#15,223 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #23 in Carry-On Luggage",None,WR-87720-410,6.4 Pounds,$44.00,$109.73,$84.84,N/A
