Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
22 x 0.1 x 22 inches,B00MW8G62E,"April 1, 2015",Amazon,China,None,None,TRP100R,1.12 ounces,$22.02,$54.68,$34.01,14
5 x 5 x 10.5 inches,B003XVYKVI,"August 15, 2010",Multipet,China,None,White,48375-1,0.2 Pounds,$3.80,$36.49,$18.72,14
2.09 x 2.36 x 4.88 inches,B0B9TWY11Q,"January 10, 2023",Wyze,China,#22 in Electronics (See Top 100 in Electronics)  #1 in Baby Monitors  #3 in Video Surveillance Equipment  #3 in Pet Cameras & Monitors,White,WYZECPAN3,11.4 ounces,$29.98,$28.94,$0.00,14
15.5 x 7.5 x 1.5 inches,B09BBM5CX8,"July 27, 2021","Best Pet Supplies, LLC",China,None,1 Yellow,PT332,0.18 Pounds,$5.99,$31.26,$0.00,14
2.5 x 3.5 x 9 inches,B005CUTWDE,"July 7, 2011",Wahl Clipper Corp.,USA,None,Tan,820004T,1.66 Pounds,$8.97,$31.81,$21.13,14
2 x 1.5 x 6.5 inches,B00RZDXA7K,"March 20, 2007",Virbac,USA,None,"White, Blue",CET101,0.2 Pounds,$11.52,$25.79,$0.00,14
9.75 x 10.25 x 1.36 inches,B008ESY894,"June 26, 2012",Canine Hardware,China,None,Blue/Orange,221301,0.13 Grams,$4.44,$28.00,$0.00,14
2.5 x 3.5 x 9 inches,B005CUTW8O,"July 7, 2011",Wahl Clipper Corp.,USA,None,Lavendar Chamomile,820000T,1.66 Pounds,$8.97,$31.85,$21.15,14
8.4 x 8.4 x 5.3 inches,B08NCDBT7Q,"November 12, 2020",Veken,China,None,Grey,VK664,2.05 Pounds,$19.99,$37.22,$14.57,N/A
7 x 1.5 x 4.75 inches,B00CPDWT2M,"November 11, 2014",Benebone,United States,None,Brown,808600,0.17 Kilograms,$10.99,$27.95,$0.00,14
"22""L x 22""W",B07YYKL3WM,None,U-Play Corporation,China,#74 in Pet Supplies (See Top 100 in Pet Supplies)  #2 in Disposable Dog Training Pads,White,A34,1.6 ounces,$9.99,$48.80,$0.00,14
"11.18""D x 2.6""W x 10.91""H",B07ZPMYYZF,None,"Best Pet Supplies, Inc.",China,#172 in Pet Supplies (See Top 100 in Pet Supplies)  #2 in Dog Grooming Wipes,Calming Lavender,WW-LA-100T,1 pounds,$5.99,$34.21,$22.97,14
7.09 x 12.6 x 11.22 inches,B01LWS9514,"October 5, 2016","Brand Buzz,LLC",China,None,Charcoal,FF8654,6.6 pounds,$29.98,$64.64,$0.00,14
25.59 x 7.87 x 0.2 inches,B07C22DJJG,"April 5, 2018",Absorlution LLC,China,None,White,A25,1.6 ounces,$18.97,$42.33,$27.53,14
2.56 x 2.56 x 30.71 inches,B001OC5UMQ,None,No,None,#99 in Baby (See Top 100 in Baby)  #1 in Door & Stair Baby Gates,None,1160 DS,0.352 ounces,$34.99,$70.16,$44.88,14
3 x 5 x 5 inches,B00WMMMHNM,"April 3, 2015",Elanco US Inc,Germany,None,Grey,86904616,0.55 Pounds,$107.98,$27.62,$58.75,14
9 x 7 x 32 inches,B008FNKQSU,None,No,China,#346 in Pet Supplies (See Top 100 in Pet Supplies)  #1 in Pooper Scoopers,None,70067,1.6 pounds,$19.49,$41.23,$30.14,14
10 x 5.5 x 10 inches,B01BWKMY7I,"February 18, 2016",OUT! International,USA,None,None,72473-4P,3.04 pounds,$13.94,$47.68,$0.00,14
13 x 11.5 x 7.5 inches,B01MDSD2A6,"October 28, 2016",BV,Taiwan,None,None,BV-PE-PADS-100,0.01 ounces,$26.30,$62.38,$0.00,14
13 x 9 inches,B076VSDJY1,"July 16, 2018",Amazon,China,None,Green,100318-LA,1.06 ounces,$9.86,$30.86,$0.00,14
2 x 26 x 23 inches,B075XQ2XYV,None,No,None,#197 in Baby (See Top 100 in Baby)  #2 in Door & Stair Baby Gates,None,2026900,3 pounds,$19.98,$72.42,$44.86,14
12 x 1.08 x 1.08 inches,B07SK3R2C3,"May 29, 2019",Dosckocil Manufacturing,Vietnam,None,Assorted colors,52088,0.28 Pounds,$4.55,$26.67,$0.00,14
3.23 x 3.23 x 4.43 inches,B08GHX9G5L,"September 15, 2020",TP-Link,Vietnam,#78 in Baby (See Top 100 in Baby)  #1 in Dome Surveillance Cameras  #2 in Video Baby Monitors  #4 in Pet Cameras & Monitors,White,Pan/Tilt Camera,15.2 ounces,$24.44,$30.02,$0.00,14
2.38 x 2.38 x 8.25 inches,B00CVTRO48,"June 28, 2013",Fetch for Pets,USA,None,None,FF4775,1.13 Pounds,$5.49,$29.66,$0.00,14
16.14 x 1.57 x 0.5 inches,B07W4M599X,"August 7, 2019","Best Pet Supplies, Inc.",China,None,Assorted Colors,MX-150B,3.53 ounces,$6.99,$27.90,$0.00,14
8.5 x 4.5 x 1.5 inches,B008FNKRIO,"June 28, 2012",Church & Dwight,United States,None,Brown,71035,6.6 ounces,$4.99,$26.75,$0.00,14
2.08 x 3.27 x 8 inches,B07RVD63J1,"May 15, 2019",Fetch for Pets,China,None,White,FF10159,1.45 Pounds,$4.98,$30.82,$0.00,14
30 x 28 x 0.39 inches,B00PG3HBGM,"January 1, 2015",American Kennel Club,China,None,Regular,AKC62880,3 pounds,$24.99,$57.07,$0.00,14
0.75 x 3.75 x 5 inches,B07MDDXBZM,"December 27, 2018",Hartz,USA,None,White,032700155940,15 Grams,$6.96,$25.44,$0.00,14
2.38 x 2.38 x 8.25 inches,B00DTEV54Y,"July 7, 2013",Fetch for Pets,USA,None,None,FF7258,1.13 Pounds,$6.29,$29.58,$0.00,14
7.13 x 3.05 x 3.05 inches,B0126F5X9O,"July 11, 2015",Sergeants - Pet Specialty Division,USA,None,White,02840,1.09 Pounds,$10.41,$29.46,$20.69,14
4.3 x 3.5 x 3.5 inches,B08DTNC3VY,"July 28, 2020",Fetch for Pets,China,None,Fresh Breeze,FF12689,0.8 Pounds,$5.99,$28.42,$0.00,14
27 x 7 x 7 inches,B005F3BCA4,"August 28, 2012",Multipet,China,None,yellow,22408-1,6.7 Ounces,$3.97,$39.21,$19.94,N/A
10 x 3 x 10 inches,B07FMLRVZ8,"July 16, 2018",Virbac,Vietnam,None,Beige,90056,1.1 Pounds,$26.52,$30.01,$9.06,14
9.06 x 5.32 x 1.97 inches,B0009YJ3QE,"October 5, 2004",PetStages,United States,None,Multicolor,126,17.69 g,$5.59,$27.34,$0.00,14
3 x 3 x 10.5 inches,B0054WTPBY,"May 15, 2011",Cosmos Corporation,United States,None,Clear,FBWA33.8Z,1.1 Kilograms,$20.11,$34.69,$27.70,14
2.5 x 2.5 x 2.5 inches,B07P5PTZWT,"February 27, 2019",Outward Hound,China,None,Multi,68002,0.2 Kilograms,$4.99,$29.20,$0.00,14
6.62 x 2.66 x 2.56 inches,B09ZLSR8PH,"May 5, 2022","Best Pet Supplies, LLC",China,None,Assorted Colors 2,MX2-150B,12.3 ounces,$6.99,$28.06,$0.00,14
8.75 x 2.25 x 1.5 inches,B01330IKAA,"July 22, 2015",Fetch for Pets,USA,None,WHITE,FF7120,0.5 Pounds,$9.04,$27.38,$0.00,14
11.6 x 11.6 x 2 inches,B082748C86,None,Outward Hound,China,#664 in Pet Supplies (See Top 100 in Pet Supplies)  #7 in Dog Squeak Toys,None,69540,1.65 pounds,$6.63,$34.36,$20.96,14
"12""L x 12""W x 16.75""H",B002Q7SZ2A,"September 23, 2009",No,USA,#157 in Pet Supplies (See Top 100 in Pet Supplies)  #2 in Dog Food Storage,None,4338,3.74 pounds,$21.71,$94.02,$55.72,14
5.13 x 11.25 x 11.38 inches,B07GL3HLW5,"August 17, 2018",Simple Solution,China,None,white,10660-12PONL,2.53 Pounds,$9.58,$47.51,$0.00,14
